a	ఒక	oka	[sound:ఒక_google_female.mp3]	ఒక పుస్తకం నా దగ్గర ఉంది.	I have a book.
across	అంతటా	antaṭā	[sound:అంతటా_google_female.mp3]	వర్షం గ్రామం అంతటా కురిసింది.	The rain fell all over the village.
act	చట్టం	caṭṭaṁ	[sound:చట్టం_google_female.mp3]	ప్రతి ఒక్కరూ చట్టాన్ని గౌరవించాలి.	Everyone must respect the law.
action	చర్య	carya	[sound:చర్య_google_female.mp3]	ప్రభుత్వం కఠినమైన చర్యలు తీసుకుంది.	The government has taken strict actions.
active	చురుకుగా	curukugā	[sound:చురుకుగా_google_female.mp3]	ఆమె చురుకు వ్యక్తి, ఎల్లప్పుడూ కొత్త విషయాలు నేర్చుకోవడానికి సిద్ధంగా ఉంటుంది.	She is an active person, always ready to learn new things.
actively	చురుకుగా	curukugā	[sound:చురుకుగా_google_female.mp3]	ఆమె చురుకుగా అన్ని పనులు పూర్తి చేసింది.	She actively completed all the tasks.
activity	కార్యాచరణ	kāryācaraṇa	[sound:కార్యాచరణ_google_female.mp3]	ఈ సమస్యను పరిష్కరించడానికి సరైన కార్యాచరణ అవసరం.	A proper course of action is necessary to solve this problem.
actor	నటుడు	naṭuḍu	[sound:నటుడు_google_female.mp3]	ఆ నటుడు తన అభినయంతో ప్రేక్షకులను మెప్పించాడు.	That actor impressed the audience with his performance.
actress	నటి	naṭi	[sound:నటి_google_female.mp3]	ఆ నటి తన పాత్రను బాగా నటించింది.	That actress performed her role very well.
actual	అసలు	asalu	[sound:అసలు_google_female.mp3]	అసలు అతను ఇక్కడికి వచ్చాడా?	Did he actually come here?
actually	నిజానికి	nijāniki	[sound:నిజానికి_google_female.mp3]	నిజానికి, ఈ విషయం గురించి నాకు ముందే తెలుసు.	In fact, I already knew about this.
ad	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]	ప్రభుత్వం కొత్త విధానంపై ప్రకటన చేసింది.	The government made an announcement about the new policy.
adapt	స్వీకరించు	svīkarin̄cu	[sound:స్వీకరించు_google_female.mp3]	ఆమె ఆహ్వానాన్ని సంతోషంగా స్వీకరించింది.	She gladly accepted the invitation.
add	జోడించు	jōḍin̄cu	[sound:జోడించు_google_female.mp3]	ఈ ఫైల్‌కు ఒక డాక్యుమెంట్‌ను జోడించు.	Attach a document to this file.
addition	అదనంగా	adanaṅgā	[sound:అదనంగా_google_female.mp3]	అదనంగా ఇంకొన్ని వివరాలు పంపించండి.	Send additional details.
additional	అదనపు	adanapu	[sound:అదనపు_google_female.mp3]	అతను అదనపు పనిని చేయడానికి సిద్ధంగా ఉన్నాడు.	He is ready to do extra work.
add on	జోడించు	jōḍin̄cu	[sound:జోడించు_google_female.mp3]	ప్రతివాదానికి మరిన్ని సాక్ష్యాలను జోడించు.	Add more evidence to the defense.
address	చిరునామా	cirunāmā	[sound:చిరునామా_google_female.mp3]	మీరు దయచేసి మీ కొత్త చిరునామా ఇవ్వగలరా?	Could you please provide your new address?
add up	చేర్చండి	cērcaṇḍi	[sound:చేర్చండి_google_female.mp3]	ఈ జాబితాలో నా పేరును కూడా చేర్చండి.	Please add my name to this list as well.
add up to	వరకు జోడించండి	varaku jōḍin̄caṇḍi	[sound:వరకు జోడించండి_google_female.mp3]	ఈ ఖర్చులు రూ. 10,000 వరకు చేరుకున్నాయి.	These expenses added up to ₹10,000.
adequate	తగినంత	taginanta	[sound:తగినంత_google_female.mp3]	ఈ పనిని పూర్తి చేయడానికి తగినంత సమయం ఉంది.	There is enough time to complete this work.
adequately	తగినంతగా	taginantagā	[sound:తగినంతగా_google_female.mp3]	న    	na
adjust	సర్దుబాటు	sardubāṭu	[sound:సర్దుబాటు_google_female.mp3]	న    	na
admiration	మెచ్చుకోవడం	meccukōvaḍaṁ	[sound:మెచ్చుకోవడం_google_female.mp3]	న    	na
admire	మెచ్చుకుంటారు	meccukuṇṭāru	[sound:మెచ్చుకుంటారు_google_female.mp3]	న    	na
admit	ఒప్పుకుంటారు	oppukuṇṭāru	[sound:ఒప్పుకుంటారు_google_female.mp3]	న    	na
adopt	స్వీకరించు	svīkarin̄cu	[sound:స్వీకరించు_google_female.mp3]	న    	na
adult	పెద్దలు	peddalu	[sound:పెద్దలు_google_female.mp3]	న    	na
advance	ముందుకు	munduku	[sound:ముందుకు_google_female.mp3]	న    	na
advanced	అభివృద్ధి చెందింది	abhivr̥d'dhi cendindi	[sound:అభివృద్ధి చెందింది_google_female.mp3]	న    	na
advantage	ప్రయోజనం	prayōjanaṁ	[sound:ప్రయోజనం_google_female.mp3]	న    	na
adventure	సాహసం	sāhasaṁ	[sound:సాహసం_google_female.mp3]	న    	na
advert	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]	న    	na
advertise	ప్రచారం చేయండి	pracāraṁ cēyaṇḍi	[sound:ప్రచారం చేయండి_google_female.mp3]	న    	na
advertisement	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]	న    	na
advertising	ప్రకటనలు	prakaṭanalu	[sound:ప్రకటనలు_google_female.mp3]	న    	na
advice	సలహా	salahā	[sound:సలహా_google_female.mp3]	న    	na
advise	సలహా ఇవ్వండి	salahā ivvaṇḍi	[sound:సలహా ఇవ్వండి_google_female.mp3]	న    	na
affair	వ్యవహారం	vyavahāraṁ	[sound:వ్యవహారం_google_female.mp3]	న    	na
affect	ప్రభావితం చేస్తాయి	prabhāvitaṁ cēstāyi	[sound:ప్రభావితం చేస్తాయి_google_female.mp3]	న    	na
affection	ఆప్యాయత	āpyāyata	[sound:ఆప్యాయత_google_female.mp3]	న    	na
afford	స్థోమత	sthōmata	[sound:స్థోమత_google_female.mp3]	న    	na
afraid	భయపడ్డాను	bhayapaḍḍānu	[sound:భయపడ్డాను_google_female.mp3]	న    	na
after	తర్వాత	tarvāta	[sound:తర్వాత_google_female.mp3]	న    	na
afternoon	మధ్యాహ్నం	madhyāhnaṁ	[sound:మధ్యాహ్నం_google_female.mp3]	న    	na
afterwards	తరువాత	taruvāta	[sound:తరువాత_google_female.mp3]	న    	na
again	మళ్ళీ	maḷḷī	[sound:మళ్ళీ_google_female.mp3]	న    	na
against	వ్యతిరేకంగా	vyatirēkaṅgā	[sound:వ్యతిరేకంగా_google_female.mp3]	న    	na
age	వయస్సు	vayas'su	[sound:వయస్సు_google_female.mp3]	న    	na
aged	వృద్ధుడు	vr̥d'dhuḍu	[sound:వృద్ధుడు_google_female.mp3]	న    	na
agency	ఏజెన్సీ	ējensī	[sound:ఏజెన్సీ_google_female.mp3]	న    	na
agent	ఏజెంట్	ējeṇṭ	[sound:ఏజెంట్_google_female.mp3]	న    	na
aggressive	దూకుడు	dūkuḍu	[sound:దూకుడు_google_female.mp3]	న    	na
ago	క్రితం	kritaṁ	[sound:క్రితం_google_female.mp3]	న    	na
agree	అంగీకరిస్తున్నారు	aṅgīkaristunnāru	[sound:అంగీకరిస్తున్నారు_google_female.mp3]	న    	na
agreement	ఒప్పందం	oppandaṁ	[sound:ఒప్పందం_google_female.mp3]	న    	na
ahead	ముందుకు	munduku	[sound:ముందుకు_google_female.mp3]	న    	na
aid	సహాయం	sahāyaṁ	[sound:సహాయం_google_female.mp3]	న    	na
aim	లక్ష్యం	lakṣyaṁ	[sound:లక్ష్యం_google_female.mp3]	న    	na
air	గాలి	gāli	[sound:గాలి_google_female.mp3]	న    	na
aircraft	విమానం	vimānaṁ	[sound:విమానం_google_female.mp3]	న    	na
airport	విమానాశ్రయం	vimānāśrayaṁ	[sound:విమానాశ్రయం_google_female.mp3]	న    	na
alarm	అలారం	alāraṁ	[sound:అలారం_google_female.mp3]	న    	na
alarmed	అప్రమత్తమయ్యారు	apramattamayyāru	[sound:అప్రమత్తమయ్యారు_google_female.mp3]	న    	na
alarming	ఆందోళనకరమైన	āndōḷanakaramaina	[sound:ఆందోళనకరమైన_google_female.mp3]	న    	na
alcohol	మద్యం	madyaṁ	[sound:మద్యం_google_female.mp3]	న    	na
alcoholic	మద్యపానం	madyapānaṁ	[sound:మద్యపానం_google_female.mp3]	న    	na
alive	సజీవంగా	sajīvaṅgā	[sound:సజీవంగా_google_female.mp3]	న    	na
all	అన్ని	anni	[sound:అన్ని_google_female.mp3]	న    	na
allied	పొత్తు పెట్టుకుంది	pottu peṭṭukundi	[sound:పొత్తు పెట్టుకుంది_google_female.mp3]	న    	na
allow	అనుమతిస్తాయి	anumatistāyi	[sound:అనుమతిస్తాయి_google_female.mp3]	న    	na
allow for	అనుమతిస్తాయి	anumatistāyi	[sound:అనుమతిస్తాయి_google_female.mp3]	న    	na
all right	సరే	sarē	[sound:సరే_google_female.mp3]	న    	na
ally	మిత్రుడు	mitruḍu	[sound:మిత్రుడు_google_female.mp3]	న    	na
almost	దాదాపు	dādāpu	[sound:దాదాపు_google_female.mp3]	న    	na
alone	ఒంటరిగా	oṇṭarigā	[sound:ఒంటరిగా_google_female.mp3]	న    	na
along	పాటు	pāṭu	[sound:పాటు_google_female.mp3]	న    	na
alongside	పక్కన	pakkana	[sound:పక్కన_google_female.mp3]	న    	na
aloud	బిగ్గరగా	biggaragā	[sound:బిగ్గరగా_google_female.mp3]	న    	na
alphabet	వర్ణమాల	varṇamāla	[sound:వర్ణమాల_google_female.mp3]	న    	na
alphabetical	అక్షరక్రమం	akṣarakramaṁ	[sound:అక్షరక్రమం_google_female.mp3]	న    	na
alphabetically	అక్షరక్రమంలో	akṣarakramanlō	[sound:అక్షరక్రమంలో_google_female.mp3]	న    	na
already	ఇప్పటికే	ippaṭikē	[sound:ఇప్పటికే_google_female.mp3]	న    	na
also	కూడా	kūḍā	[sound:కూడా_google_female.mp3]	న    	na
alter	మార్చు	mārcu	[sound:మార్చు_google_female.mp3]	న    	na
alternative	ప్రత్యామ్నాయం	pratyāmnāyaṁ	[sound:ప్రత్యామ్నాయం_google_female.mp3]	న    	na
alternatively	ప్రత్యామ్నాయంగా	pratyāmnāyaṅgā	[sound:ప్రత్యామ్నాయంగా_google_female.mp3]	న    	na
although	అయినప్పటికీ	ayinappaṭikī	[sound:అయినప్పటికీ_google_female.mp3]	న    	na
altogether	పూర్తిగా	pūrtigā	[sound:పూర్తిగా_google_female.mp3]	న    	na
always	ఎల్లప్పుడూ	ellappuḍū	[sound:ఎల్లప్పుడూ_google_female.mp3]	న    	na
a.m.	a.m.	a.M.	[sound:a.m._google_female.mp3]	న    	na
amaze	ఆశ్చర్యపరుస్తాయి	āścaryaparustāyi	[sound:ఆశ్చర్యపరుస్తాయి_google_female.mp3]	న    	na
amazed	ఆశ్చర్యపోయాడు	āścaryapōyāḍu	[sound:ఆశ్చర్యపోయాడు_google_female.mp3]	న    	na
amazing	అద్భుతమైన	adbhutamaina	[sound:అద్భుతమైన_google_female.mp3]	న    	na
ambition	ఆశయం	āśayaṁ	[sound:ఆశయం_google_female.mp3]	న    	na
ambulance	అంబులెన్స్	ambulens	[sound:అంబులెన్స్_google_female.mp3]	న    	na
among	మధ్య	madhya	[sound:మధ్య_google_female.mp3]	న    	na
amount	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]	న    	na
amount to	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]	న    	na
amuse	వినోదం	vinōdaṁ	[sound:వినోదం_google_female.mp3]	న    	na
amused	నవ్వించాడు	navvin̄cāḍu	[sound:నవ్వించాడు_google_female.mp3]	న    	na
amusing	వినోదభరితమైన	vinōdabharitamaina	[sound:వినోదభరితమైన_google_female.mp3]	న    	na
analyse	విశ్లేషించండి	viślēṣin̄caṇḍi	[sound:విశ్లేషించండి_google_female.mp3]	న    	na
analysis	విశ్లేషణ	viślēṣaṇa	[sound:విశ్లేషణ_google_female.mp3]	న    	na
ancient	పురాతనమైనది	purātanamainadi	[sound:పురాతనమైనది_google_female.mp3]	న    	na
and	మరియు	mariyu	[sound:మరియు_google_female.mp3]	న    	na
anger	కోపం	kōpaṁ	[sound:కోపం_google_female.mp3]	న    	na
angle	కోణం	kōṇaṁ	[sound:కోణం_google_female.mp3]	న    	na
angrily	కోపంగా	kōpaṅgā	[sound:కోపంగా_google_female.mp3]	న    	na
angry	కోపంగా	kōpaṅgā	[sound:కోపంగా_google_female.mp3]	న    	na
animal	జంతువు	jantuvu	[sound:జంతువు_google_female.mp3]	న    	na
ankle	చీలమండ	cīlamaṇḍa	[sound:చీలమండ_google_female.mp3]	న    	na
anniversary	వార్షికోత్సవం	vārṣikōtsavaṁ	[sound:వార్షికోత్సవం_google_female.mp3]	న    	na
announce	ప్రకటించండి	prakaṭin̄caṇḍi	[sound:ప్రకటించండి_google_female.mp3]	న    	na
annoy	బాధించు	bādhin̄cu	[sound:బాధించు_google_female.mp3]	న    	na
annoyed	చిరాకుపడ్డాడు	cirākupaḍḍāḍu	[sound:చిరాకుపడ్డాడు_google_female.mp3]	న    	na
annoying	బాధించే	bādhin̄cē	[sound:బాధించే_google_female.mp3]	న    	na
annual	వార్షిక	vārṣika	[sound:వార్షిక_google_female.mp3]	న    	na
annually	ఏటా	ēṭā	[sound:ఏటా_google_female.mp3]	న    	na
another	మరొకటి	marokaṭi	[sound:మరొకటి_google_female.mp3]	న    	na
answer	సమాధానం	samādhānaṁ	[sound:సమాధానం_google_female.mp3]	న    	na
anti-	వ్యతిరేక	vyatirēka	[sound:వ్యతిరేక_google_female.mp3]	న    	na
anticipate	ఎదురుచూడాలి	edurucūḍāli	[sound:ఎదురుచూడాలి_google_female.mp3]	న    	na
anxiety	ఆందోళన	āndōḷana	[sound:ఆందోళన_google_female.mp3]	న    	na
anxious	ఆత్రుతగా	ātrutagā	[sound:ఆత్రుతగా_google_female.mp3]	న    	na
anxiously	ఆత్రుతగా	ātrutagā	[sound:ఆత్రుతగా_google_female.mp3]	న    	na
any	ఏదైనా	ēdainā	[sound:ఏదైనా_google_female.mp3]	న    	na
anybody	ఎవరైనా	evarainā	[sound:ఎవరైనా_google_female.mp3]	న    	na
anyone	ఎవరైనా	evarainā	[sound:ఎవరైనా_google_female.mp3]	న    	na
anything	ఏదైనా	ēdainā	[sound:ఏదైనా_google_female.mp3]	న    	na
anyway	ఏమైనప్పటికీ	ēmainappaṭikī	[sound:ఏమైనప్పటికీ_google_female.mp3]	న    	na
anywhere	ఎక్కడైనా	ekkaḍainā	[sound:ఎక్కడైనా_google_female.mp3]	న    	na
apart	వేరుగా	vērugā	[sound:వేరుగా_google_female.mp3]	న    	na
apart from	కాకుండా	kākuṇḍā	[sound:కాకుండా_google_female.mp3]	న    	na
apartment	అపార్ట్మెంట్	apārṭmeṇṭ	[sound:అపార్ట్మెంట్_google_female.mp3]	న    	na
apologize	క్షమాపణ చెప్పండి	kṣamāpaṇa ceppaṇḍi	[sound:క్షమాపణ చెప్పండి_google_female.mp3]	న    	na
apparent	స్పష్టమైన	spaṣṭamaina	[sound:స్పష్టమైన_google_female.mp3]	న    	na
apparently	స్పష్టంగా	spaṣṭaṅgā	[sound:స్పష్టంగా_google_female.mp3]	న    	na
appeal	విజ్ఞప్తి	vijñapti	[sound:విజ్ఞప్తి_google_female.mp3]	న    	na
appear	కనిపిస్తాయి	kanipistāyi	[sound:కనిపిస్తాయి_google_female.mp3]	న    	na
appearance	ప్రదర్శన	pradarśana	[sound:ప్రదర్శన_google_female.mp3]	న    	na
apple	ఆపిల్	āpil	[sound:ఆపిల్_google_female.mp3]	న    	na
application	అప్లికేషన్	aplikēṣan	[sound:అప్లికేషన్_google_female.mp3]	న    	na
apply	దరఖాస్తు	darakhāstu	[sound:దరఖాస్తు_google_female.mp3]	న    	na
appoint	నియమిస్తారు	niyamistāru	[sound:నియమిస్తారు_google_female.mp3]	న    	na
appointment	నియామకం	niyāmakaṁ	[sound:నియామకం_google_female.mp3]	న    	na
appreciate	అభినందిస్తున్నాము	abhinandistunnāmu	[sound:అభినందిస్తున్నాము_google_female.mp3]	న    	na
approach	విధానం	vidhānaṁ	[sound:విధానం_google_female.mp3]	న    	na
appropriate	తగిన	tagina	[sound:తగిన_google_female.mp3]	న    	na
approval	ఆమోదం	āmōdaṁ	[sound:ఆమోదం_google_female.mp3]	న    	na
approve	ఆమోదించండి	āmōdin̄caṇḍi	[sound:ఆమోదించండి_google_female.mp3]	న    	na
approving	ఆమోదించడం	āmōdin̄caḍaṁ	[sound:ఆమోదించడం_google_female.mp3]	న    	na
approximate	సుమారుగా	sumārugā	[sound:సుమారుగా_google_female.mp3]	న    	na
approximately	సుమారుగా	sumārugā	[sound:సుమారుగా_google_female.mp3]	న    	na
April	ఏప్రిల్	ēpril	[sound:ఏప్రిల్_google_female.mp3]	న    	na
area	ప్రాంతం	prāntaṁ	[sound:ప్రాంతం_google_female.mp3]	న    	na
argue	వాదిస్తారు	vādistāru	[sound:వాదిస్తారు_google_female.mp3]	న    	na
argument	వాదన	vādana	[sound:వాదన_google_female.mp3]	న    	na
arise	తలెత్తుతాయి	talettutāyi	[sound:తలెత్తుతాయి_google_female.mp3]	న    	na
arm	చేయి	cēyi	[sound:చేయి_google_female.mp3]	న    	na
armed	సాయుధ	sāyudha	[sound:సాయుధ_google_female.mp3]	న    	na
arms	చేతులు	cētulu	[sound:చేతులు_google_female.mp3]	న    	na
army	సైన్యం	sain'yaṁ	[sound:సైన్యం_google_female.mp3]	న    	na
around	చుట్టూ	cuṭṭū	[sound:చుట్టూ_google_female.mp3]	న    	na
arrange	ఏర్పాట్లు	ērpāṭlu	[sound:ఏర్పాట్లు_google_female.mp3]	న    	na
arrangement	అమరిక	amarika	[sound:అమరిక_google_female.mp3]	న    	na
arrest	అరెస్టు	aresṭu	[sound:అరెస్టు_google_female.mp3]	న    	na
arrival	రాక	rāka	[sound:రాక_google_female.mp3]	న    	na
arrive	చేరుకుంటారు	cērukuṇṭāru	[sound:చేరుకుంటారు_google_female.mp3]	న    	na
arrive at	వద్దకు చేరుకుంటారు	vaddaku cērukuṇṭāru	[sound:వద్దకు చేరుకుంటారు_google_female.mp3]	న    	na
arrow	బాణం	bāṇaṁ	[sound:బాణం_google_female.mp3]	న    	na
art	కళ	kaḷa	[sound:కళ_google_female.mp3]	న    	na
article	వ్యాసం	vyāsaṁ	[sound:వ్యాసం_google_female.mp3]	న    	na
artificial	కృత్రిమ	kr̥trima	[sound:కృత్రిమ_google_female.mp3]	న    	na
artificially	కృత్రిమంగా	kr̥trimaṅgā	[sound:కృత్రిమంగా_google_female.mp3]	న    	na
artist	కళాకారుడు	kaḷākāruḍu	[sound:కళాకారుడు_google_female.mp3]	న    	na
artistic	కళాత్మకమైనది	kaḷātmakamainadi	[sound:కళాత్మకమైనది_google_female.mp3]	న    	na
artistically	కళాత్మకంగా	kaḷātmakaṅgā	[sound:కళాత్మకంగా_google_female.mp3]	న    	na
as	వంటి	vaṇṭi	[sound:వంటి_google_female.mp3]	న    	na
ashamed	సిగ్గుపడ్డాడు	siggupaḍḍāḍu	[sound:సిగ్గుపడ్డాడు_google_female.mp3]	న    	na
aside	ప్రక్కన	prakkana	[sound:ప్రక్కన_google_female.mp3]	న    	na
aside from	పక్కన	pakkana	[sound:పక్కన_google_female.mp3]	న    	na
ask	అడగండి	aḍagaṇḍi	[sound:అడగండి_google_female.mp3]	న    	na
asleep	నిద్రపోతున్నాను	nidrapōtunnānu	[sound:నిద్రపోతున్నాను_google_female.mp3]	న    	na
aspect	అంశం	anśaṁ	[sound:అంశం_google_female.mp3]	న    	na
assist	సహాయం	sahāyaṁ	[sound:సహాయం_google_female.mp3]	న    	na
assistance	సహాయం	sahāyaṁ	[sound:సహాయం_google_female.mp3]	న    	na
assistant	సహాయకుడు	sahāyakuḍu	[sound:సహాయకుడు_google_female.mp3]	న    	na
associate	సహచరుడు	sahacaruḍu	[sound:సహచరుడు_google_female.mp3]	న    	na
associated	అనుబంధించబడింది	anubandhin̄cabaḍindi	[sound:అనుబంధించబడింది_google_female.mp3]	న    	na
association	సంఘం	saṅghaṁ	[sound:సంఘం_google_female.mp3]	న    	na
assume	ఊహిస్తారు	ūhistāru	[sound:ఊహిస్తారు_google_female.mp3]	న    	na
assure	భరోసా	bharōsā	[sound:భరోసా_google_female.mp3]	న    	na
at	వద్ద	vadda	[sound:వద్ద_google_female.mp3]	న    	na
atmosphere	వాతావరణం	vātāvaraṇaṁ	[sound:వాతావరణం_google_female.mp3]	న    	na
atom	పరమాణువు	paramāṇuvu	[sound:పరమాణువు_google_female.mp3]	న    	na
attach	అటాచ్ చేయండి	aṭāc cēyaṇḍi	[sound:అటాచ్ చేయండి_google_female.mp3]	న    	na
attached	జోడించబడింది	jōḍin̄cabaḍindi	[sound:జోడించబడింది_google_female.mp3]	న    	na
attack	దాడి	dāḍi	[sound:దాడి_google_female.mp3]	న    	na
attempt	ప్రయత్నం	prayatnaṁ	[sound:ప్రయత్నం_google_female.mp3]	న    	na
attempted	ప్రయత్నించాడు	prayatnin̄cāḍu	[sound:ప్రయత్నించాడు_google_female.mp3]	న    	na
