a 	 ఒక 	(Oka)	
aggressive 	 దూకుడు 	(Dūkuḍu)	
ago 	 క్రితం 	(Kritaṁ)	
agree 	 అంగీకరిస్తున్నారు 	(Aṅgīkaristunnāru)	
agreement 	 ఒప్పందం 	(Oppandaṁ)	
ahead 	 ముందుకు 	(Munduku)	
aid 	 సహాయం 	(Sahāyaṁ)	
aim 	 లక్ష్యం 	(Lakṣyaṁ)	
air 	 గాలి 	(Gāli)	
aircraft 	 విమానం 	(Vimānaṁ)	
airport 	 విమానాశ్రయం 	(Vimānāśrayaṁ)	
alarm 	 అలారం 	(Alāraṁ)	
alarmed 	 అప్రమత్తమయ్యారు 	(Apramattamayyāru)	
alarming 	 ఆందోళనకరమైన 	(Āndōḷanakaramaina)	
alcohol 	 మద్యం 	(Madyaṁ)	
alcoholic 	 మద్యపానం 	(Madyapānaṁ)	
alive 	 సజీవంగా 	(Sajīvaṅgā)	
all 	 అన్ని 	(Anni)	
allied 	 పొత్తు పెట్టుకుంది 	(Pottu peṭṭukundi)	
allow 	 అనుమతిస్తాయి 	(Anumatistāyi)	
allow for 	 అనుమతిస్తాయి 	(Anumatistāyi)	
all right 	 సరే 	(Sarē)	
ally 	 మిత్రుడు 	(Mitruḍu)	
almost 	 దాదాపు 	(Dādāpu)	
alone 	 ఒంటరిగా 	(Oṇṭarigā)	
along 	 పాటు 	(Pāṭu)	
alongside 	 పక్కన 	(Pakkana)	
aloud 	 బిగ్గరగా 	(Biggaragā)	
alphabet 	 వర్ణమాల 	(Varṇamāla)	
alphabetical 	 అక్షరక్రమం 	(Akṣarakramaṁ)	
alphabetically 	 అక్షరక్రమంలో 	(Akṣarakramanlō)	
already 	 ఇప్పటికే 	(Ippaṭikē)	
also 	 కూడా 	(Kūḍā)	
alter 	 మార్చు 	(Mārcu)	
alternative 	 ప్రత్యామ్నాయం 	(Pratyāmnāyaṁ)	
alternatively 	 ప్రత్యామ్నాయంగా 	(Pratyāmnāyaṅgā)	
although 	 అయినప్పటికీ 	(Ayinappaṭikī)	
altogether 	 పూర్తిగా 	(Pūrtigā)	
always 	 ఎల్లప్పుడూ 	(Ellappuḍū)	
a.m. 	 a.m. 	(A.M.)	
amaze 	 ఆశ్చర్యపరుస్తాయి 	(Āścaryaparustāyi)	
amazed 	 ఆశ్చర్యపోయాడు 	(Āścaryapōyāḍu)	
amazing 	 అద్భుతమైన 	(Adbhutamaina)	
ambition 	 ఆశయం 	(Āśayaṁ)	
ambulance 	 అంబులెన్స్ 	(Ambulens)	
among 	 మధ్య 	(Madhya)	
amount 	 మొత్తం 	(Mottaṁ)	
amount to 	 మొత్తం 	(Mottaṁ)	
amuse 	 వినోదం 	(Vinōdaṁ)	
amused 	 నవ్వించాడు 	(Navvin̄cāḍu)	
amusing 	 వినోదభరితమైన 	(Vinōdabharitamaina)	
analyse 	 విశ్లేషించండి 	(Viślēṣin̄caṇḍi)	
analysis 	 విశ్లేషణ 	(Viślēṣaṇa)	
ancient 	 పురాతనమైనది 	(Purātanamainadi)	
and 	 మరియు 	(Mariyu)	
anger 	 కోపం 	(Kōpaṁ)	
angle 	 కోణం 	(Kōṇaṁ)	
angrily 	 కోపంగా 	(Kōpaṅgā)	
angry 	 కోపంగా 	(Kōpaṅgā)	
animal 	 జంతువు 	(Jantuvu)	
ankle 	 చీలమండ 	(Cīlamaṇḍa)	
anniversary 	 వార్షికోత్సవం 	(Vārṣikōtsavaṁ)	
announce 	 ప్రకటించండి 	(Prakaṭin̄caṇḍi)	
annoy 	 బాధించు 	(Bādhin̄cu)	
annoyed 	 చిరాకుపడ్డాడు 	(Cirākupaḍḍāḍu)	
annoying 	 బాధించే 	(Bādhin̄cē)	
annual 	 వార్షిక 	(Vārṣika)	
annually 	 ఏటా 	(Ēṭā)	
another 	 మరొకటి 	(Marokaṭi)	
answer 	 సమాధానం 	(Samādhānaṁ)	
anti- 	 వ్యతిరేక 	(Vyatirēka)	
anticipate 	 ఎదురుచూడాలి 	(Edurucūḍāli)	
anxiety 	 ఆందోళన 	(Āndōḷana)	
anxious 	 ఆత్రుతగా 	(Ātrutagā)	
anxiously 	 ఆత్రుతగా 	(Ātrutagā)	
any 	 ఏదైనా 	(Ēdainā)	
anybody 	 ఎవరైనా 	(Evarainā)	
anyone 	 ఎవరైనా 	(Evarainā)	
anything 	 ఏదైనా 	(Ēdainā)	
anyway 	 ఏమైనప్పటికీ 	(Ēmainappaṭikī)	
anywhere 	 ఎక్కడైనా 	(Ekkaḍainā)	
apart 	 వేరుగా 	(Vērugā)	
apart from 	 కాకుండా 	(Kākuṇḍā)	
apartment 	 అపార్ట్మెంట్ 	(Apārṭmeṇṭ)	
apologize 	 క్షమాపణ చెప్పండి 	(Kṣamāpaṇa ceppaṇḍi)	
apparent 	 స్పష్టమైన 	(Spaṣṭamaina)	
apparently 	 స్పష్టంగా 	(Spaṣṭaṅgā)	
appeal 	 విజ్ఞప్తి 	(Vijñapti)	
appear 	 కనిపిస్తాయి 	(Kanipistāyi)	
appearance 	 ప్రదర్శన 	(Pradarśana)	
apple 	 ఆపిల్ 	(Āpil)	
application 	 అప్లికేషన్ 	(Aplikēṣan)	
apply 	 దరఖాస్తు 	(Darakhāstu)	
appoint 	 నియమిస్తారు 	(Niyamistāru)	
appointment 	 నియామకం 	(Niyāmakaṁ)	
appreciate 	 అభినందిస్తున్నాము 	(Abhinandistunnāmu)	
approach 	 విధానం 	(Vidhānaṁ)	
appropriate 	 తగిన 	(Tagina)	
approval 	 ఆమోదం 	(Āmōdaṁ)	
approve 	 ఆమోదించండి 	(Āmōdin̄caṇḍi)	
approving 	 ఆమోదించడం 	(Āmōdin̄caḍaṁ)	
approximate 	 సుమారుగా 	(Sumārugā)	
approximately 	 సుమారుగా 	(Sumārugā)	
April 	 ఏప్రిల్ 	(Ēpril)	
area 	 ప్రాంతం 	(Prāntaṁ)	
argue 	 వాదిస్తారు 	(Vādistāru)	
argument 	 వాదన 	(Vādana)	
arise 	 తలెత్తుతాయి 	(Talettutāyi)	
arm 	 చేయి 	(Cēyi)	
armed 	 సాయుధ 	(Sāyudha)	
arms 	 చేతులు 	(Cētulu)	
army 	 సైన్యం 	(Sain'yaṁ)	
around 	 చుట్టూ 	(Cuṭṭū)	
arrange 	 ఏర్పాట్లు 	(Ērpāṭlu)	
arrangement 	 అమరిక 	(Amarika)	
arrest 	 అరెస్టు 	(Aresṭu)	
arrival 	 రాక 	(Rāka)	
arrive 	 చేరుకుంటారు 	(Cērukuṇṭāru)	
arrive at 	 వద్దకు చేరుకుంటారు 	(Vaddaku cērukuṇṭāru)	
arrow 	 బాణం 	(Bāṇaṁ)	
art 	 కళ 	(Kaḷa)	
article 	 వ్యాసం 	(Vyāsaṁ)	
artificial 	 కృత్రిమ 	(Kr̥trima)	
artificially 	 కృత్రిమంగా 	(Kr̥trimaṅgā)	
artist 	 కళాకారుడు 	(Kaḷākāruḍu)	
artistic 	 కళాత్మకమైనది 	(Kaḷātmakamainadi)	
artistically 	 కళాత్మకంగా 	(Kaḷātmakaṅgā)	
as 	 వంటి 	(Vaṇṭi)	
ashamed 	 సిగ్గుపడ్డాడు 	(Siggupaḍḍāḍu)	
aside 	 ప్రక్కన 	(Prakkana)	
aside from 	 పక్కన 	(Pakkana)	
ask 	 అడగండి 	(Aḍagaṇḍi)	
asleep 	 నిద్రపోతున్నాను 	(Nidrapōtunnānu)	
aspect 	 అంశం 	(Anśaṁ)	
assist 	 సహాయం 	(Sahāyaṁ)	
assistance 	 సహాయం 	(Sahāyaṁ)	
assistant 	 సహాయకుడు 	(Sahāyakuḍu)	
associate 	 సహచరుడు 	(Sahacaruḍu)	
associated 	 అనుబంధించబడింది 	(Anubandhin̄cabaḍindi)	
association 	 సంఘం 	(Saṅghaṁ)	
assume 	 ఊహిస్తారు 	(Ūhistāru)	
assure 	 భరోసా 	(Bharōsā)	
at 	 వద్ద 	(Vadda)	
atmosphere 	 వాతావరణం 	(Vātāvaraṇaṁ)	
atom 	 పరమాణువు 	(Paramāṇuvu)	
attach 	 అటాచ్ చేయండి 	(Aṭāc cēyaṇḍi)	
attached 	 జోడించబడింది 	(Jōḍin̄cabaḍindi)	
attack 	 దాడి 	(Dāḍi)	
attempt 	 ప్రయత్నం 	(Prayatnaṁ)	
attempted 	 ప్రయత్నించాడు 	(Prayatnin̄cāḍu)	
attend 	 హాజరు 	(Hājaru)	
attend to 	 హాజరు 	(Hājaru)	
attention 	 శ్రద్ధ 	(Śrad'dha)	
attitude 	 వైఖరి 	(Vaikhari)	
attorney 	 న్యాయవాది 	(N'yāyavādi)	
attract 	 ఆకర్షిస్తాయి 	(Ākarṣistāyi)	
attraction 	 ఆకర్షణ 	(Ākarṣaṇa)	
attractive 	 ఆకర్షణీయమైన 	(Ākarṣaṇīyamaina)	
audience 	 ప్రేక్షకులు 	(Prēkṣakulu)	
August 	 ఆగస్టు 	(Āgasṭu)	
aunt 	 అత్త 	(Atta)	
author 	 రచయిత 	(Racayita)	
authority 	 అధికారం 	(Adhikāraṁ)	
automatic 	 ఆటోమేటిక్ 	(Āṭōmēṭik)	
automatically 	 స్వయంచాలకంగా 	(Svayan̄cālakaṅgā)	
autumn 	 శరదృతువు 	(Śaradr̥tuvu)	
available 	 అందుబాటులో 	(Andubāṭulō)	
average 	 సగటు 	(Sagaṭu)	
avoid 	 నివారించండి 	(Nivārin̄caṇḍi)	
awake 	 మేల్కొని 	(Mēlkoni)	
award 	 అవార్డు 	(Avārḍu)	
aware 	 తెలుసు 	(Telusu)	
away 	 దూరంగా 	(Dūraṅgā)	
awful 	 భయంకరం 	(Bhayaṅkaraṁ)	
awfully 	 భయంకరంగా 	(Bhayaṅkaraṅgā)	
awkward 	 ఇబ్బందికరమైన 	(Ibbandikaramaina)	
awkwardly 	 వికారంగా 	(Vikāraṅgā)	
baby 	 శిశువు 	(Śiśuvu)	
back 	 తిరిగి 	(Tirigi)	
background 	 నేపథ్యం 	(Nēpathyaṁ)	
back up 	 బ్యాకప్ 	(Byākap)	
backward 	 వెనుకబడిన 	(Venukabaḍina)	
backwards 	 వెనుకకు 	(Venukaku)	
bacteria 	 బాక్టీరియా 	(Bākṭīriyā)	
bad 	 చెడు 	(Ceḍu)	
badly 	 చెడుగా 	(Ceḍugā)	
bad-tempered 	 చెడు స్వభావం కలవాడు 	(Ceḍu svabhāvaṁ kalavāḍu)	
bag 	 సంచి 	(San̄ci)	
baggage 	 సామాను 	(Sāmānu)	
bake 	 కాల్చండి 	(Kālcaṇḍi)	
balance 	 సంతులనం 	(Santulanaṁ)	
ball 	 బంతి 	(Banti)	
ban 	 నిషేధించండి 	(Niṣēdhin̄caṇḍi)	
band 	 బ్యాండ్ 	(Byāṇḍ)	
bandage 	 కట్టు 	(Kaṭṭu)	
bank 	 బ్యాంకు 	(Byāṅku)	
bar 	 బార్ 	(Bār)	
bargain 	 బేరం 	(Bēraṁ)	
barrier 	 అడ్డంకి 	(Aḍḍaṅki)	
base 	 బేస్ 	(Bēs)	
based 	 ఆధారంగా 	(Ādhāraṅgā)	
base on 	 ఆధారంగా 	(Ādhāraṅgā)	
basic 	 ప్రాథమిక 	(Prāthamika)	
basically 	 ప్రాథమికంగా 	(Prāthamikaṅgā)	
basis 	 ఆధారంగా 	(Ādhāraṅgā)	
bath 	 స్నానం 	(Snānaṁ)	
bathroom 	 బాత్రూమ్ 	(Bātrūm)	
battery 	 బ్యాటరీ 	(Byāṭarī)	
battle 	 యుద్ధం 	(Yud'dhaṁ)	
bay 	 బే 	(Bē)	
be 	 ఉంటుంది 	(Uṇṭundi)	
beach 	 బీచ్ 	(Bīc)	
beak 	 ముక్కు 	(Mukku)	
bear 	 ఎలుగుబంటి 	(Elugubaṇṭi)	
beard 	 గడ్డం 	(Gaḍḍaṁ)	
beat 	 కొట్టారు 	(Koṭṭāru)	
beat up 	 కొట్టారు 	(Koṭṭāru)	
beautiful 	 అందమైన 	(Andamaina)	
beautifully 	 అందంగా 	(Andaṅgā)	
beauty 	 అందం 	(Andaṁ)	
because 	 ఎందుకంటే 	(Endukaṇṭē)	
because of 	 ఎందుకంటే 	(Endukaṇṭē)	
become 	 అవుతాయి 	(Avutāyi)	
bed 	 మంచం 	(Man̄caṁ)	
bedroom 	 పడకగది 	(Paḍakagadi)	
beef 	 గొడ్డు మాంసం 	(Goḍḍu mānsaṁ)	
beer 	 బీరు 	(Bīru)	
before 	 ముందు 	(Mundu)	
begin 	 ప్రారంభం 	(Prārambhaṁ)	
beginning 	 ప్రారంభం 	(Prārambhaṁ)	
behalf 	 తరపున 	(Tarapuna)	
behave 	 ప్రవర్తిస్తారు 	(Pravartistāru)	
behaviour 	 ప్రవర్తన 	(Pravartana)	
behind 	 వెనుక 	(Venuka)	
be left over 	 మిగులుతుంది 	(Migulutundi)	
belief 	 నమ్మకం 	(Nam'makaṁ)	
believe 	 నమ్మకం 	(Nam'makaṁ)	
believe in 	 నమ్మకం 	(Nam'makaṁ)	
bell 	 గంట 	(Gaṇṭa)	
belong 	 చెందినవి 	(Cendinavi)	
belong to 	 చెందినవి 	(Cendinavi)	
below 	 క్రింద 	(Krinda)	
belt 	 బెల్ట్ 	(Belṭ)	
bend 	 వంచు 	(Van̄cu)	
beneath 	 కింద 	(Kinda)	
benefit 	 ప్రయోజనం 	(Prayōjanaṁ)	
bent 	 వంగి 	(Vaṅgi)	
beside 	 పక్కన 	(Pakkana)	
best 	 ఉత్తమమైనది 	(Uttamamainadi)	
bet 	 పందెం 	(Pandeṁ)	
better 	 మెరుగైన 	(Merugaina)	
betting 	 బెట్టింగ్ 	(Beṭṭiṅg)	
between 	 మధ్య 	(Madhya)	
beyond 	 దాటి 	(Dāṭi)	
bicycle 	 సైకిల్ 	(Saikil)	
bid 1 	 వేలం 1 	(Vēlaṁ 1)	
big 	 పెద్ద 	(Pedda)	
bike 	 బైక్ 	(Baik)	
bill 	 బిల్లు 	(Billu)	
billion 	 బిలియన్ 	(Biliyan)	
bin 	 డబ్బా 	(Ḍabbā)	
biology 	 జీవశాస్త్రం 	(Jīvaśāstraṁ)	
bird 	 పక్షి 	(Pakṣi)	
birth 	 పుట్టుక 	(Puṭṭuka)	
birthday 	 పుట్టినరోజు 	(Puṭṭinarōju)	
biscuit 	 బిస్కెట్ 	(Biskeṭ)	
bit 	 బిట్ 	(Biṭ)	
bite 	 కొరుకు 	(Koruku)	
bitter 	 చేదు 	(Cēdu)	
bitterly 	 చేదుగా 	(Cēdugā)	
black 	 నలుపు 	(Nalupu)	
blade 	 బ్లేడ్ 	(Blēḍ)	
blame 	 నిందిస్తారు 	(Nindistāru)	
blank 	 ఖాళీ 	(Khāḷī)	
blind 	 అంధుడు 	(Andhuḍu)	
block 	 నిరోధించు 	(Nirōdhin̄cu)	
blonde 	 అందగత్తె 	(Andagatte)	
blood 	 రక్తం 	(Raktaṁ)	
blow 	 దెబ్బ 	(Debba)	
blow out 	 బయటకు ఊదండి 	(Bayaṭaku ūdaṇḍi)	
blow up 	 పేల్చివేయు 	(Pēlcivēyu)	
blue 	 నీలం 	(Nīlaṁ)	
board 	 బోర్డు 	(Bōrḍu)	
boat 	 పడవ 	(Paḍava)	
body 	 శరీరం 	(Śarīraṁ)	
boil 	 ఉడకబెట్టండి 	(Uḍakabeṭṭaṇḍi)	
bomb 	 బాంబు 	(Bāmbu)	
bone 	 ఎముక 	(Emuka)	
book 	 పుస్తకం 	(Pustakaṁ)	
boot 	 బూట్ 	(Būṭ)	
border 	 సరిహద్దు 	(Sarihaddu)	
bore 	 బోర్ కొట్టింది 	(Bōr koṭṭindi)	
bored 	 నీరసం 	(Nīrasaṁ)	
boring 	 నీరసం 	(Nīrasaṁ)	
born 	 పుట్టింది 	(Puṭṭindi)	
borrow 	 అప్పు తీసుకుంటారు 	(Appu tīsukuṇṭāru)	
boss 	 బాస్ 	(Bās)	
both 	 రెండూ 	(Reṇḍū)	
bother 	 ఇబ్బంది పెడతారు 	(Ibbandi peḍatāru)	
bottle 	 సీసా 	(Sīsā)	
bottom 	 దిగువన 	(Diguvana)	
bound 	 కట్టుబడి 	(Kaṭṭubaḍi)	
bowl 	 గిన్నె 	(Ginne)	
box 	 పెట్టె 	(Peṭṭe)	
boy 	 అబ్బాయి 	(Abbāyi)	
boyfriend 	 ప్రియుడు 	(Priyuḍu)	
brain 	 మెదడు 	(Medaḍu)	
branch 	 శాఖ 	(Śākha)	
brand 	 బ్రాండ్ 	(Brāṇḍ)	
brave 	 ధైర్యవంతుడు 	(Dhairyavantuḍu)	
bread 	 రొట్టె 	(Roṭṭe)	
break 	 బ్రేక్ 	(Brēk)	
break down 	 విచ్ఛిన్నం 	(Vicchinnaṁ)	
breakfast 	 అల్పాహారం 	(Alpāhāraṁ)	
break in 	 లోపలికి ప్రవేశించండి 	(Lōpaliki pravēśin̄caṇḍi)	
break into 	 ప్రవేశించండి 	(Pravēśin̄caṇḍi)	
break off 	 విడిపోతాయి 	(Viḍipōtāyi)	
break out 	 విరుచుకుపడతాయి 	(Virucukupaḍatāyi)	
break up 	 విడిపోతారు 	(Viḍipōtāru)	
breast 	 రొమ్ము 	(Rom'mu)	
breath 	 శ్వాస 	(Śvāsa)	
breathe 	 ఊపిరి పీల్చుకుంటారు 	(Ūpiri pīlcukuṇṭāru)	
breathe in 	 ఊపిరి పీల్చుకోండి 	(Ūpiri pīlcukōṇḍi)	
breathe out 	 ఊపిరి పీల్చుకోండి 	(Ūpiri pīlcukōṇḍi)	
breathing 	 శ్వాస 	(Śvāsa)	
breed 	 జాతి 	(Jāti)	
brick 	 ఇటుక 	(Iṭuka)	
bridge 	 వంతెన 	(Vantena)	
brief 	 క్లుప్తంగా 	(Kluptaṅgā)	
briefly 	 క్లుప్తంగా 	(Kluptaṅgā)	
bright 	 ప్రకాశవంతమైన 	(Prakāśavantamaina)	
brightly 	 ప్రకాశవంతంగా 	(Prakāśavantaṅgā)	
brilliant 	 తెలివైన 	(Telivaina)	
bring 	 తీసుకురండి 	(Tīsukuraṇḍi)	
bring back 	 తిరిగి తీసుకురండి 	(Tirigi tīsukuraṇḍi)	
bring down 	 దించు 	(Din̄cu)	
bring forward 	 ముందుకు తీసుకురండి 	(Munduku tīsukuraṇḍi)	
bring out 	 బయటకు తీసుకురండి 	(Bayaṭaku tīsukuraṇḍi)	
bring up 	 తీసుకురండి 	(Tīsukuraṇḍi)	
broad 	 విశాలమైనది 	(Viśālamainadi)	
broadcast 	 ప్రసారం 	(Prasāraṁ)	
broadly 	 విస్తృతంగా 	(Vistr̥taṅgā)	
broken 	 విరిగిపోయింది 	(Virigipōyindi)	
brother 	 సోదరుడు 	(Sōdaruḍu)	
brown 	 గోధుమ రంగు 	(Gōdhuma raṅgu)	
brush 	 బ్రష్ 	(Braṣ)	
bubble 	 బుడగ 	(Buḍaga)	
budget 	 బడ్జెట్ 	(Baḍjeṭ)	
build 	 నిర్మించు 	(Nirmin̄cu)	
building 	 భవనం 	(Bhavanaṁ)	
build up 	 నిర్మించడానికి 	(Nirmin̄caḍāniki)	
bullet 	 బుల్లెట్ 	(Bulleṭ)	
bunch 	 బంచ్ 	(Ban̄c)	
burn 	 కాల్చండి 	(Kālcaṇḍi)	
burn down 	 కాల్చివేయుము 	(Kālcivēyumu)	
burnt 	 కాలింది 	(Kālindi)	
burst 	 పగిలిపోతుంది 	(Pagilipōtundi)	
burst into 	 లోకి దూసుకుపోయింది 	(Lōki dūsukupōyindi)	
burst out 	 పగిలిపోయింది 	(Pagilipōyindi)	
bury 	 పాతిపెట్టు 	(Pātipeṭṭu)	
bus 	 బస్సు 	(Bas'su)	
bush 	 పొద 	(Poda)	
business 	 వ్యాపారం 	(Vyāpāraṁ)	
businessman 	 వ్యాపారవేత్త 	(Vyāpāravētta)	
busy 	 బిజీగా ఉన్నారు 	(Bijīgā unnāru)	
but 	 కాని 	(Kāni)	
butter 	 వెన్న 	(Venna)	
button 	 బటన్ 	(Baṭan)	
buy 	 కొనండి 	(Konaṇḍi)	
buyer 	 కొనుగోలుదారు 	(Konugōludāru)	
by 	 ద్వారా 	(Dvārā)	
bye 	 బై 	(Bai)	
cabinet 	 మంత్రివర్గం 	(Mantrivargaṁ)	
cable 	 కేబుల్ 	(Kēbul)	
cake 	 కేక్ 	(Kēk)	
calculate 	 లెక్కించు 	(Lekkin̄cu)	
calculation 	 గణన 	(Gaṇana)	
call 	 కాల్ చేయండి 	(Kāl cēyaṇḍi)	
call back 	 తిరిగి కాల్ చేయండి 	(Tirigi kāl cēyaṇḍi)	
called 	 అని పిలిచారు 	(Ani pilicāru)	
call for 	 కోసం కాల్ 	(Kōsaṁ kāl)	
call off 	 కాల్ ఆఫ్ 	(Kāl āph)	
call up 	 కాల్ చేయండి 	(Kāl cēyaṇḍi)	
calm 	 ప్రశాంతత 	(Praśāntata)	
calm down 	 శాంతించండి 	(Śāntin̄caṇḍi)	
calmly 	 ప్రశాంతంగా 	(Praśāntaṅgā)	
camera 	 కెమెరా 	(Kemerā)	
camp 	 శిబిరం 	(Śibiraṁ)	
campaign 	 ప్రచారం 	(Pracāraṁ)	
camping 	 క్యాంపింగ్ 	(Kyāmpiṅg)	
can 1 	 చెయ్యవచ్చు 1 	(Ceyyavaccu 1)	
can 2 	 చెయ్యవచ్చు 2 	(Ceyyavaccu 2)	
cancel 	 రద్దు 	(Raddu)	
cancer 	 క్యాన్సర్ 	(Kyānsar)	
candidate 	 అభ్యర్థి 	(Abhyarthi)	
candy 	 మిఠాయి 	(Miṭhāyi)	
cannot 	 కుదరదు 	(Kudaradu)	
cap 	 టోపీ 	(Ṭōpī)	
capable 	 సమర్థుడు 	(Samarthuḍu)	
capacity 	 సామర్థ్యం 	(Sāmarthyaṁ)	
capital 	 రాజధాని 	(Rājadhāni)	
captain 	 కెప్టెన్ 	(Kepṭen)	
capture 	 పట్టుకోవడం 	(Paṭṭukōvaḍaṁ)	
car 	 కారు 	(Kāru)	
card 	 కార్డు 	(Kārḍu)	
cardboard 	 కార్డ్బోర్డ్ 	(Kārḍbōrḍ)	
care 	 శ్రమ 	(Śrama)	
career 	 వృత్తి 	(Vr̥tti)	
care for 	 శ్రమ 	(Śrama)	
careful 	 జాగ్రత్తగా 	(Jāgrattagā)	
carefully 	 జాగ్రత్తగా 	(Jāgrattagā)	
careless 	 అజాగ్రత్త 	(Ajāgratta)	
carelessly 	 నిర్లక్ష్యంగా 	(Nirlakṣyaṅgā)	
carpet 	 కార్పెట్ 	(Kārpeṭ)	
carrot 	 క్యారెట్ 	(Kyāreṭ)	
carry 	 తీసుకువెళ్ళండి 	(Tīsukuveḷḷaṇḍi)	
carry on 	 కొనసాగించు 	(Konasāgin̄cu)	
carry out 	 చేపడతారు 	(Cēpaḍatāru)	
case 	 కేసు 	(Kēsu)	
cash 	 నగదు 	(Nagadu)	
cast 	 తారాగణం 	(Tārāgaṇaṁ)	
castle 	 కోట 	(Kōṭa)	
