a	ఒక	oka	[sound:ఒక_google_female.mp3]
account for	కోసం ఖాతా	kōsaṁ khātā	[sound:కోసం ఖాతా_google_female.mp3]
accurate	ఖచ్చితమైన	khaccitamaina	[sound:ఖచ్చితమైన_google_female.mp3]
accurately	ఖచ్చితంగా	khaccitaṅgā	[sound:ఖచ్చితంగా_google_female.mp3]
accuse	నిందిస్తారు	nindistāru	[sound:నిందిస్తారు_google_female.mp3]
achieve	సాధిస్తారు	sādhistāru	[sound:సాధిస్తారు_google_female.mp3]
achievement	సాధించిన	sādhin̄cina	[sound:సాధించిన_google_female.mp3]
acid	యాసిడ్	yāsiḍ	[sound:యాసిడ్_google_female.mp3]
acknowledge	గుర్తించండి	gurtin̄caṇḍi	[sound:గుర్తించండి_google_female.mp3]
a couple	ఒక జంట	oka jaṇṭa	[sound:ఒక జంట_google_female.mp3]
acquire	సంపాదించు	sampādin̄cu	[sound:సంపాదించు_google_female.mp3]
across	అంతటా	antaṭā	[sound:అంతటా_google_female.mp3]
act	చట్టం	caṭṭaṁ	[sound:చట్టం_google_female.mp3]
action	చర్య	carya	[sound:చర్య_google_female.mp3]
active	చురుకుగా	curukugā	[sound:చురుకుగా_google_female.mp3]
actively	చురుకుగా	curukugā	[sound:చురుకుగా_google_female.mp3]
activity	కార్యాచరణ	kāryācaraṇa	[sound:కార్యాచరణ_google_female.mp3]
actor	నటుడు	naṭuḍu	[sound:నటుడు_google_female.mp3]
actress	నటి	naṭi	[sound:నటి_google_female.mp3]
actual	అసలు	asalu	[sound:అసలు_google_female.mp3]
actually	నిజానికి	nijāniki	[sound:నిజానికి_google_female.mp3]
ad	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]
adapt	స్వీకరించు	svīkarin̄cu	[sound:స్వీకరించు_google_female.mp3]
add	జోడించు	jōḍin̄cu	[sound:జోడించు_google_female.mp3]
addition	అదనంగా	adanaṅgā	[sound:అదనంగా_google_female.mp3]
additional	అదనపు	adanapu	[sound:అదనపు_google_female.mp3]
add on	జోడించు	jōḍin̄cu	[sound:జోడించు_google_female.mp3]
address	చిరునామా	cirunāmā	[sound:చిరునామా_google_female.mp3]
add up	చేర్చండి	cērcaṇḍi	[sound:చేర్చండి_google_female.mp3]
add up to	వరకు జోడించండి	varaku jōḍin̄caṇḍi	[sound:వరకు జోడించండి_google_female.mp3]
adequate	తగినంత	taginanta	[sound:తగినంత_google_female.mp3]
adequately	తగినంతగా	taginantagā	[sound:తగినంతగా_google_female.mp3]
adjust	సర్దుబాటు	sardubāṭu	[sound:సర్దుబాటు_google_female.mp3]
admiration	మెచ్చుకోవడం	meccukōvaḍaṁ	[sound:మెచ్చుకోవడం_google_female.mp3]
admire	మెచ్చుకుంటారు	meccukuṇṭāru	[sound:మెచ్చుకుంటారు_google_female.mp3]
admit	ఒప్పుకుంటారు	oppukuṇṭāru	[sound:ఒప్పుకుంటారు_google_female.mp3]
adopt	స్వీకరించు	svīkarin̄cu	[sound:స్వీకరించు_google_female.mp3]
adult	పెద్దలు	peddalu	[sound:పెద్దలు_google_female.mp3]
advance	ముందుకు	munduku	[sound:ముందుకు_google_female.mp3]
advanced	అభివృద్ధి చెందింది	abhivr̥d'dhi cendindi	[sound:అభివృద్ధి చెందింది_google_female.mp3]
advantage	ప్రయోజనం	prayōjanaṁ	[sound:ప్రయోజనం_google_female.mp3]
adventure	సాహసం	sāhasaṁ	[sound:సాహసం_google_female.mp3]
advert	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]
advertise	ప్రచారం చేయండి	pracāraṁ cēyaṇḍi	[sound:ప్రచారం చేయండి_google_female.mp3]
advertisement	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]
advertising	ప్రకటనలు	prakaṭanalu	[sound:ప్రకటనలు_google_female.mp3]
advice	సలహా	salahā	[sound:సలహా_google_female.mp3]
advise	సలహా ఇవ్వండి	salahā ivvaṇḍi	[sound:సలహా ఇవ్వండి_google_female.mp3]
affair	వ్యవహారం	vyavahāraṁ	[sound:వ్యవహారం_google_female.mp3]
affect	ప్రభావితం చేస్తాయి	prabhāvitaṁ cēstāyi	[sound:ప్రభావితం చేస్తాయి_google_female.mp3]
affection	ఆప్యాయత	āpyāyata	[sound:ఆప్యాయత_google_female.mp3]
afford	స్థోమత	sthōmata	[sound:స్థోమత_google_female.mp3]
afraid	భయపడ్డాను	bhayapaḍḍānu	[sound:భయపడ్డాను_google_female.mp3]
after	తర్వాత	tarvāta	[sound:తర్వాత_google_female.mp3]
afternoon	మధ్యాహ్నం	madhyāhnaṁ	[sound:మధ్యాహ్నం_google_female.mp3]
afterwards	తరువాత	taruvāta	[sound:తరువాత_google_female.mp3]
again	మళ్ళీ	maḷḷī	[sound:మళ్ళీ_google_female.mp3]
against	వ్యతిరేకంగా	vyatirēkaṅgā	[sound:వ్యతిరేకంగా_google_female.mp3]
age	వయస్సు	vayas'su	[sound:వయస్సు_google_female.mp3]
aged	వృద్ధుడు	vr̥d'dhuḍu	[sound:వృద్ధుడు_google_female.mp3]
agency	ఏజెన్సీ	ējensī	[sound:ఏజెన్సీ_google_female.mp3]
agent	ఏజెంట్	ējeṇṭ	[sound:ఏజెంట్_google_female.mp3]
aggressive	దూకుడు	dūkuḍu	[sound:దూకుడు_google_female.mp3]
ago	క్రితం	kritaṁ	[sound:క్రితం_google_female.mp3]
agree	అంగీకరిస్తున్నారు	aṅgīkaristunnāru	[sound:అంగీకరిస్తున్నారు_google_female.mp3]
agreement	ఒప్పందం	oppandaṁ	[sound:ఒప్పందం_google_female.mp3]
ahead	ముందుకు	munduku	[sound:ముందుకు_google_female.mp3]
aid	సహాయం	sahāyaṁ	[sound:సహాయం_google_female.mp3]
aim	లక్ష్యం	lakṣyaṁ	[sound:లక్ష్యం_google_female.mp3]
air	గాలి	gāli	[sound:గాలి_google_female.mp3]
aircraft	విమానం	vimānaṁ	[sound:విమానం_google_female.mp3]
airport	విమానాశ్రయం	vimānāśrayaṁ	[sound:విమానాశ్రయం_google_female.mp3]
alarm	అలారం	alāraṁ	[sound:అలారం_google_female.mp3]
alarmed	అప్రమత్తమయ్యారు	apramattamayyāru	[sound:అప్రమత్తమయ్యారు_google_female.mp3]
alarming	ఆందోళనకరమైన	āndōḷanakaramaina	[sound:ఆందోళనకరమైన_google_female.mp3]
alcohol	మద్యం	madyaṁ	[sound:మద్యం_google_female.mp3]
alcoholic	మద్యపానం	madyapānaṁ	[sound:మద్యపానం_google_female.mp3]
alive	సజీవంగా	sajīvaṅgā	[sound:సజీవంగా_google_female.mp3]
all	అన్ని	anni	[sound:అన్ని_google_female.mp3]
allied	పొత్తు పెట్టుకుంది	pottu peṭṭukundi	[sound:పొత్తు పెట్టుకుంది_google_female.mp3]
allow	అనుమతిస్తాయి	anumatistāyi	[sound:అనుమతిస్తాయి_google_female.mp3]
allow for	అనుమతిస్తాయి	anumatistāyi	[sound:అనుమతిస్తాయి_google_female.mp3]
all right	సరే	sarē	[sound:సరే_google_female.mp3]
ally	మిత్రుడు	mitruḍu	[sound:మిత్రుడు_google_female.mp3]
almost	దాదాపు	dādāpu	[sound:దాదాపు_google_female.mp3]
alone	ఒంటరిగా	oṇṭarigā	[sound:ఒంటరిగా_google_female.mp3]
along	పాటు	pāṭu	[sound:పాటు_google_female.mp3]
alongside	పక్కన	pakkana	[sound:పక్కన_google_female.mp3]
aloud	బిగ్గరగా	biggaragā	[sound:బిగ్గరగా_google_female.mp3]
alphabet	వర్ణమాల	varṇamāla	[sound:వర్ణమాల_google_female.mp3]
alphabetical	అక్షరక్రమం	akṣarakramaṁ	[sound:అక్షరక్రమం_google_female.mp3]
alphabetically	అక్షరక్రమంలో	akṣarakramanlō	[sound:అక్షరక్రమంలో_google_female.mp3]
already	ఇప్పటికే	ippaṭikē	[sound:ఇప్పటికే_google_female.mp3]
also	కూడా	kūḍā	[sound:కూడా_google_female.mp3]
alter	మార్చు	mārcu	[sound:మార్చు_google_female.mp3]
alternative	ప్రత్యామ్నాయం	pratyāmnāyaṁ	[sound:ప్రత్యామ్నాయం_google_female.mp3]
alternatively	ప్రత్యామ్నాయంగా	pratyāmnāyaṅgā	[sound:ప్రత్యామ్నాయంగా_google_female.mp3]
although	అయినప్పటికీ	ayinappaṭikī	[sound:అయినప్పటికీ_google_female.mp3]
altogether	పూర్తిగా	pūrtigā	[sound:పూర్తిగా_google_female.mp3]
always	ఎల్లప్పుడూ	ellappuḍū	[sound:ఎల్లప్పుడూ_google_female.mp3]
a.m.	a.m.	a.M.	[sound:a.m._google_female.mp3]
amaze	ఆశ్చర్యపరుస్తాయి	āścaryaparustāyi	[sound:ఆశ్చర్యపరుస్తాయి_google_female.mp3]
amazed	ఆశ్చర్యపోయాడు	āścaryapōyāḍu	[sound:ఆశ్చర్యపోయాడు_google_female.mp3]
amazing	అద్భుతమైన	adbhutamaina	[sound:అద్భుతమైన_google_female.mp3]
ambition	ఆశయం	āśayaṁ	[sound:ఆశయం_google_female.mp3]
ambulance	అంబులెన్స్	ambulens	[sound:అంబులెన్స్_google_female.mp3]
among	మధ్య	madhya	[sound:మధ్య_google_female.mp3]
amount	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]
amount to	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]
amuse	వినోదం	vinōdaṁ	[sound:వినోదం_google_female.mp3]
amused	నవ్వించాడు	navvin̄cāḍu	[sound:నవ్వించాడు_google_female.mp3]
amusing	వినోదభరితమైన	vinōdabharitamaina	[sound:వినోదభరితమైన_google_female.mp3]
analyse	విశ్లేషించండి	viślēṣin̄caṇḍi	[sound:విశ్లేషించండి_google_female.mp3]
analysis	విశ్లేషణ	viślēṣaṇa	[sound:విశ్లేషణ_google_female.mp3]
ancient	పురాతనమైనది	purātanamainadi	[sound:పురాతనమైనది_google_female.mp3]
and	మరియు	mariyu	[sound:మరియు_google_female.mp3]
anger	కోపం	kōpaṁ	[sound:కోపం_google_female.mp3]
angle	కోణం	kōṇaṁ	[sound:కోణం_google_female.mp3]
angrily	కోపంగా	kōpaṅgā	[sound:కోపంగా_google_female.mp3]
angry	కోపంగా	kōpaṅgā	[sound:కోపంగా_google_female.mp3]
animal	జంతువు	jantuvu	[sound:జంతువు_google_female.mp3]
ankle	చీలమండ	cīlamaṇḍa	[sound:చీలమండ_google_female.mp3]
anniversary	వార్షికోత్సవం	vārṣikōtsavaṁ	[sound:వార్షికోత్సవం_google_female.mp3]
announce	ప్రకటించండి	prakaṭin̄caṇḍi	[sound:ప్రకటించండి_google_female.mp3]
annoy	బాధించు	bādhin̄cu	[sound:బాధించు_google_female.mp3]
annoyed	చిరాకుపడ్డాడు	cirākupaḍḍāḍu	[sound:చిరాకుపడ్డాడు_google_female.mp3]
annoying	బాధించే	bādhin̄cē	[sound:బాధించే_google_female.mp3]
annual	వార్షిక	vārṣika	[sound:వార్షిక_google_female.mp3]
annually	ఏటా	ēṭā	[sound:ఏటా_google_female.mp3]
another	మరొకటి	marokaṭi	[sound:మరొకటి_google_female.mp3]
answer	సమాధానం	samādhānaṁ	[sound:సమాధానం_google_female.mp3]
anti-	వ్యతిరేక	vyatirēka	[sound:వ్యతిరేక_google_female.mp3]
anticipate	ఎదురుచూడాలి	edurucūḍāli	[sound:ఎదురుచూడాలి_google_female.mp3]
anxiety	ఆందోళన	āndōḷana	[sound:ఆందోళన_google_female.mp3]
anxious	ఆత్రుతగా	ātrutagā	[sound:ఆత్రుతగా_google_female.mp3]
anxiously	ఆత్రుతగా	ātrutagā	[sound:ఆత్రుతగా_google_female.mp3]
any	ఏదైనా	ēdainā	[sound:ఏదైనా_google_female.mp3]
anybody	ఎవరైనా	evarainā	[sound:ఎవరైనా_google_female.mp3]
anyone	ఎవరైనా	evarainā	[sound:ఎవరైనా_google_female.mp3]
anything	ఏదైనా	ēdainā	[sound:ఏదైనా_google_female.mp3]
anyway	ఏమైనప్పటికీ	ēmainappaṭikī	[sound:ఏమైనప్పటికీ_google_female.mp3]
anywhere	ఎక్కడైనా	ekkaḍainā	[sound:ఎక్కడైనా_google_female.mp3]
apart	వేరుగా	vērugā	[sound:వేరుగా_google_female.mp3]
apart from	కాకుండా	kākuṇḍā	[sound:కాకుండా_google_female.mp3]
apartment	అపార్ట్మెంట్	apārṭmeṇṭ	[sound:అపార్ట్మెంట్_google_female.mp3]
apologize	క్షమాపణ చెప్పండి	kṣamāpaṇa ceppaṇḍi	[sound:క్షమాపణ చెప్పండి_google_female.mp3]
apparent	స్పష్టమైన	spaṣṭamaina	[sound:స్పష్టమైన_google_female.mp3]
apparently	స్పష్టంగా	spaṣṭaṅgā	[sound:స్పష్టంగా_google_female.mp3]
appeal	విజ్ఞప్తి	vijñapti	[sound:విజ్ఞప్తి_google_female.mp3]
appear	కనిపిస్తాయి	kanipistāyi	[sound:కనిపిస్తాయి_google_female.mp3]
appearance	ప్రదర్శన	pradarśana	[sound:ప్రదర్శన_google_female.mp3]
apple	ఆపిల్	āpil	[sound:ఆపిల్_google_female.mp3]
application	అప్లికేషన్	aplikēṣan	[sound:అప్లికేషన్_google_female.mp3]
apply	దరఖాస్తు	darakhāstu	[sound:దరఖాస్తు_google_female.mp3]
appoint	నియమిస్తారు	niyamistāru	[sound:నియమిస్తారు_google_female.mp3]
appointment	నియామకం	niyāmakaṁ	[sound:నియామకం_google_female.mp3]
appreciate	అభినందిస్తున్నాము	abhinandistunnāmu	[sound:అభినందిస్తున్నాము_google_female.mp3]
approach	విధానం	vidhānaṁ	[sound:విధానం_google_female.mp3]
appropriate	తగిన	tagina	[sound:తగిన_google_female.mp3]
approval	ఆమోదం	āmōdaṁ	[sound:ఆమోదం_google_female.mp3]
approve	ఆమోదించండి	āmōdin̄caṇḍi	[sound:ఆమోదించండి_google_female.mp3]
approving	ఆమోదించడం	āmōdin̄caḍaṁ	[sound:ఆమోదించడం_google_female.mp3]
approximate	సుమారుగా	sumārugā	[sound:సుమారుగా_google_female.mp3]
approximately	సుమారుగా	sumārugā	[sound:సుమారుగా_google_female.mp3]
April	ఏప్రిల్	ēpril	[sound:ఏప్రిల్_google_female.mp3]
area	ప్రాంతం	prāntaṁ	[sound:ప్రాంతం_google_female.mp3]
argue	వాదిస్తారు	vādistāru	[sound:వాదిస్తారు_google_female.mp3]
argument	వాదన	vādana	[sound:వాదన_google_female.mp3]
arise	తలెత్తుతాయి	talettutāyi	[sound:తలెత్తుతాయి_google_female.mp3]
arm	చేయి	cēyi	[sound:చేయి_google_female.mp3]
armed	సాయుధ	sāyudha	[sound:సాయుధ_google_female.mp3]
arms	చేతులు	cētulu	[sound:చేతులు_google_female.mp3]
army	సైన్యం	sain'yaṁ	[sound:సైన్యం_google_female.mp3]
around	చుట్టూ	cuṭṭū	[sound:చుట్టూ_google_female.mp3]
arrange	ఏర్పాట్లు	ērpāṭlu	[sound:ఏర్పాట్లు_google_female.mp3]
arrangement	అమరిక	amarika	[sound:అమరిక_google_female.mp3]
arrest	అరెస్టు	aresṭu	[sound:అరెస్టు_google_female.mp3]
arrival	రాక	rāka	[sound:రాక_google_female.mp3]
arrive	చేరుకుంటారు	cērukuṇṭāru	[sound:చేరుకుంటారు_google_female.mp3]
arrive at	వద్దకు చేరుకుంటారు	vaddaku cērukuṇṭāru	[sound:వద్దకు చేరుకుంటారు_google_female.mp3]
arrow	బాణం	bāṇaṁ	[sound:బాణం_google_female.mp3]
art	కళ	kaḷa	[sound:కళ_google_female.mp3]
article	వ్యాసం	vyāsaṁ	[sound:వ్యాసం_google_female.mp3]
artificial	కృత్రిమ	kr̥trima	[sound:కృత్రిమ_google_female.mp3]
artificially	కృత్రిమంగా	kr̥trimaṅgā	[sound:కృత్రిమంగా_google_female.mp3]
artist	కళాకారుడు	kaḷākāruḍu	[sound:కళాకారుడు_google_female.mp3]
artistic	కళాత్మకమైనది	kaḷātmakamainadi	[sound:కళాత్మకమైనది_google_female.mp3]
artistically	కళాత్మకంగా	kaḷātmakaṅgā	[sound:కళాత్మకంగా_google_female.mp3]
as	వంటి	vaṇṭi	[sound:వంటి_google_female.mp3]
ashamed	సిగ్గుపడ్డాడు	siggupaḍḍāḍu	[sound:సిగ్గుపడ్డాడు_google_female.mp3]
aside	ప్రక్కన	prakkana	[sound:ప్రక్కన_google_female.mp3]
aside from	పక్కన	pakkana	[sound:పక్కన_google_female.mp3]
ask	అడగండి	aḍagaṇḍi	[sound:అడగండి_google_female.mp3]
asleep	నిద్రపోతున్నాను	nidrapōtunnānu	[sound:నిద్రపోతున్నాను_google_female.mp3]
aspect	అంశం	anśaṁ	[sound:అంశం_google_female.mp3]
assist	సహాయం	sahāyaṁ	[sound:సహాయం_google_female.mp3]
assistance	సహాయం	sahāyaṁ	[sound:సహాయం_google_female.mp3]
assistant	సహాయకుడు	sahāyakuḍu	[sound:సహాయకుడు_google_female.mp3]
associate	సహచరుడు	sahacaruḍu	[sound:సహచరుడు_google_female.mp3]
associated	అనుబంధించబడింది	anubandhin̄cabaḍindi	[sound:అనుబంధించబడింది_google_female.mp3]
association	సంఘం	saṅghaṁ	[sound:సంఘం_google_female.mp3]
assume	ఊహిస్తారు	ūhistāru	[sound:ఊహిస్తారు_google_female.mp3]
assure	భరోసా	bharōsā	[sound:భరోసా_google_female.mp3]
at	వద్ద	vadda	[sound:వద్ద_google_female.mp3]
atmosphere	వాతావరణం	vātāvaraṇaṁ	[sound:వాతావరణం_google_female.mp3]
atom	పరమాణువు	paramāṇuvu	[sound:పరమాణువు_google_female.mp3]
attach	అటాచ్ చేయండి	aṭāc cēyaṇḍi	[sound:అటాచ్ చేయండి_google_female.mp3]
attached	జోడించబడింది	jōḍin̄cabaḍindi	[sound:జోడించబడింది_google_female.mp3]
attack	దాడి	dāḍi	[sound:దాడి_google_female.mp3]
attempt	ప్రయత్నం	prayatnaṁ	[sound:ప్రయత్నం_google_female.mp3]
attempted	ప్రయత్నించాడు	prayatnin̄cāḍu	[sound:ప్రయత్నించాడు_google_female.mp3]
attend	హాజరు	hājaru	[sound:హాజరు_google_female.mp3]
attend to	హాజరు	hājaru	[sound:హాజరు_google_female.mp3]
attention	శ్రద్ధ	śrad'dha	[sound:శ్రద్ధ_google_female.mp3]
attitude	వైఖరి	vaikhari	[sound:వైఖరి_google_female.mp3]
attorney	న్యాయవాది	n'yāyavādi	[sound:న్యాయవాది_google_female.mp3]
attract	ఆకర్షిస్తాయి	ākarṣistāyi	[sound:ఆకర్షిస్తాయి_google_female.mp3]
attraction	ఆకర్షణ	ākarṣaṇa	[sound:ఆకర్షణ_google_female.mp3]
attractive	ఆకర్షణీయమైన	ākarṣaṇīyamaina	[sound:ఆకర్షణీయమైన_google_female.mp3]
audience	ప్రేక్షకులు	prēkṣakulu	[sound:ప్రేక్షకులు_google_female.mp3]
August	ఆగస్టు	āgasṭu	[sound:ఆగస్టు_google_female.mp3]
aunt	అత్త	atta	[sound:అత్త_google_female.mp3]
author	రచయిత	racayita	[sound:రచయిత_google_female.mp3]
authority	అధికారం	adhikāraṁ	[sound:అధికారం_google_female.mp3]
automatic	ఆటోమేటిక్	āṭōmēṭik	[sound:ఆటోమేటిక్_google_female.mp3]
automatically	స్వయంచాలకంగా	svayan̄cālakaṅgā	[sound:స్వయంచాలకంగా_google_female.mp3]
autumn	శరదృతువు	śaradr̥tuvu	[sound:శరదృతువు_google_female.mp3]
available	అందుబాటులో	andubāṭulō	[sound:అందుబాటులో_google_female.mp3]
average	సగటు	sagaṭu	[sound:సగటు_google_female.mp3]
avoid	నివారించండి	nivārin̄caṇḍi	[sound:నివారించండి_google_female.mp3]
awake	మేల్కొని	mēlkoni	[sound:మేల్కొని_google_female.mp3]
award	అవార్డు	avārḍu	[sound:అవార్డు_google_female.mp3]
aware	తెలుసు	telusu	[sound:తెలుసు_google_female.mp3]
away	దూరంగా	dūraṅgā	[sound:దూరంగా_google_female.mp3]
awful	భయంకరం	bhayaṅkaraṁ	[sound:భయంకరం_google_female.mp3]
awfully	భయంకరంగా	bhayaṅkaraṅgā	[sound:భయంకరంగా_google_female.mp3]
awkward	ఇబ్బందికరమైన	ibbandikaramaina	[sound:ఇబ్బందికరమైన_google_female.mp3]
awkwardly	వికారంగా	vikāraṅgā	[sound:వికారంగా_google_female.mp3]
baby	శిశువు	śiśuvu	[sound:శిశువు_google_female.mp3]
back	తిరిగి	tirigi	[sound:తిరిగి_google_female.mp3]
background	నేపథ్యం	nēpathyaṁ	[sound:నేపథ్యం_google_female.mp3]
back up	బ్యాకప్	byākap	[sound:బ్యాకప్_google_female.mp3]
backward	వెనుకబడిన	venukabaḍina	[sound:వెనుకబడిన_google_female.mp3]
backwards	వెనుకకు	venukaku	[sound:వెనుకకు_google_female.mp3]
bacteria	బాక్టీరియా	bākṭīriyā	[sound:బాక్టీరియా_google_female.mp3]
bad	చెడు	ceḍu	[sound:చెడు_google_female.mp3]
badly	చెడుగా	ceḍugā	[sound:చెడుగా_google_female.mp3]
bad-tempered	చెడు స్వభావం కలవాడు	ceḍu svabhāvaṁ kalavāḍu	[sound:చెడు స్వభావం కలవాడు_google_female.mp3]
bag	సంచి	san̄ci	[sound:సంచి_google_female.mp3]
baggage	సామాను	sāmānu	[sound:సామాను_google_female.mp3]
bake	కాల్చండి	kālcaṇḍi	[sound:కాల్చండి_google_female.mp3]
balance	సంతులనం	santulanaṁ	[sound:సంతులనం_google_female.mp3]
ball	బంతి	banti	[sound:బంతి_google_female.mp3]
ban	నిషేధించండి	niṣēdhin̄caṇḍi	[sound:నిషేధించండి_google_female.mp3]
band	బ్యాండ్	byāṇḍ	[sound:బ్యాండ్_google_female.mp3]
bandage	కట్టు	kaṭṭu	[sound:కట్టు_google_female.mp3]
bank	బ్యాంకు	byāṅku	[sound:బ్యాంకు_google_female.mp3]
bar	బార్	bār	[sound:బార్_google_female.mp3]
bargain	బేరం	bēraṁ	[sound:బేరం_google_female.mp3]
barrier	అడ్డంకి	aḍḍaṅki	[sound:అడ్డంకి_google_female.mp3]
base	బేస్	bēs	[sound:బేస్_google_female.mp3]
based	ఆధారంగా	ādhāraṅgā	[sound:ఆధారంగా_google_female.mp3]
base on	ఆధారంగా	ādhāraṅgā	[sound:ఆధారంగా_google_female.mp3]
basic	ప్రాథమిక	prāthamika	[sound:ప్రాథమిక_google_female.mp3]
basically	ప్రాథమికంగా	prāthamikaṅgā	[sound:ప్రాథమికంగా_google_female.mp3]
basis	ఆధారంగా	ādhāraṅgā	[sound:ఆధారంగా_google_female.mp3]
bath	స్నానం	snānaṁ	[sound:స్నానం_google_female.mp3]
bathroom	బాత్రూమ్	bātrūm	[sound:బాత్రూమ్_google_female.mp3]
battery	బ్యాటరీ	byāṭarī	[sound:బ్యాటరీ_google_female.mp3]
battle	యుద్ధం	yud'dhaṁ	[sound:యుద్ధం_google_female.mp3]
bay	బే	bē	[sound:బే_google_female.mp3]
be	ఉంటుంది	uṇṭundi	[sound:ఉంటుంది_google_female.mp3]
beach	బీచ్	bīc	[sound:బీచ్_google_female.mp3]
beak	ముక్కు	mukku	[sound:ముక్కు_google_female.mp3]
bear	ఎలుగుబంటి	elugubaṇṭi	[sound:ఎలుగుబంటి_google_female.mp3]
beard	గడ్డం	gaḍḍaṁ	[sound:గడ్డం_google_female.mp3]
beat	కొట్టారు	koṭṭāru	[sound:కొట్టారు_google_female.mp3]
beat up	కొట్టారు	koṭṭāru	[sound:కొట్టారు_google_female.mp3]
beautiful	అందమైన	andamaina	[sound:అందమైన_google_female.mp3]
beautifully	అందంగా	andaṅgā	[sound:అందంగా_google_female.mp3]
beauty	అందం	andaṁ	[sound:అందం_google_female.mp3]
because	ఎందుకంటే	endukaṇṭē	[sound:ఎందుకంటే_google_female.mp3]
because of	ఎందుకంటే	endukaṇṭē	[sound:ఎందుకంటే_google_female.mp3]
become	అవుతాయి	avutāyi	[sound:అవుతాయి_google_female.mp3]
bed	మంచం	man̄caṁ	[sound:మంచం_google_female.mp3]
bedroom	పడకగది	paḍakagadi	[sound:పడకగది_google_female.mp3]
beef	గొడ్డు మాంసం	goḍḍu mānsaṁ	[sound:గొడ్డు మాంసం_google_female.mp3]
beer	బీరు	bīru	[sound:బీరు_google_female.mp3]
before	ముందు	mundu	[sound:ముందు_google_female.mp3]
begin	ప్రారంభం	prārambhaṁ	[sound:ప్రారంభం_google_female.mp3]
beginning	ప్రారంభం	prārambhaṁ	[sound:ప్రారంభం_google_female.mp3]
behalf	తరపున	tarapuna	[sound:తరపున_google_female.mp3]
behave	ప్రవర్తిస్తారు	pravartistāru	[sound:ప్రవర్తిస్తారు_google_female.mp3]
behaviour	ప్రవర్తన	pravartana	[sound:ప్రవర్తన_google_female.mp3]
behind	వెనుక	venuka	[sound:వెనుక_google_female.mp3]
be left over	మిగులుతుంది	migulutundi	[sound:మిగులుతుంది_google_female.mp3]
belief	నమ్మకం	nam'makaṁ	[sound:నమ్మకం_google_female.mp3]
believe	నమ్మకం	nam'makaṁ	[sound:నమ్మకం_google_female.mp3]
believe in	నమ్మకం	nam'makaṁ	[sound:నమ్మకం_google_female.mp3]
bell	గంట	gaṇṭa	[sound:గంట_google_female.mp3]
belong	చెందినవి	cendinavi	[sound:చెందినవి_google_female.mp3]
belong to	చెందినవి	cendinavi	[sound:చెందినవి_google_female.mp3]
below	క్రింద	krinda	[sound:క్రింద_google_female.mp3]
belt	బెల్ట్	belṭ	[sound:బెల్ట్_google_female.mp3]
bend	వంచు	van̄cu	[sound:వంచు_google_female.mp3]
