a 	 ఒక 	ఒక పుస్తకం నా దగ్గర ఉంది.	I have a book.
achieve 	 సాధిస్తారు 	ఎంత కష్టం అయినా, వారు తమ లక్ష్యాన్ని సాధిస్తారు.	No matter how hard it is, they will achieve their goal.
achievement 	 సాధించిన 	అతను కష్టపడిన ఫలితం అది సాధించిన విజయం.	That is the success he achieved through hard work.
acid 	 యాసిడ్ 	వేడి పానీయాలలో యాసిడ్ ఉన్నప్పుడే, అవి టేస్టీగా ఉంటాయి.	Hot beverages taste good only when they contain acid.
acknowledge 	 గుర్తించండి 	మీరు ఆయన కృషిని గుర్తించండి.	Please acknowledge his efforts.
a couple 	 ఒక జంట 	ఒక జంట పార్క్‌లో సేపు తిరిగింది.	A couple walked around the park for a while.
acquire 	 సంపాదించు 	అతను కష్టపడి డబ్బు సంపాదించాడు.	He earned money through hard work.
across 	 అంతటా 	వర్షం గ్రామం అంతటా కురిసింది.	The rain fell all over the village.
act 	 చట్టం 	ప్రతి ఒక్కరూ చట్టాన్ని గౌరవించాలి.	Everyone must respect the law.
action 	 చర్య 	ప్రభుత్వం కఠినమైన చర్యలు తీసుకుంది.	The government has taken strict actions.
active 	 చురుకుగా 	ఆమె చురుకు వ్యక్తి, ఎల్లప్పుడూ కొత్త విషయాలు నేర్చుకోవడానికి సిద్ధంగా ఉంటుంది.	She is an active person, always ready to learn new things.
actively 	 చురుకుగా 	ఆమె చురుకుగా అన్ని పనులు పూర్తి చేసింది.	She actively completed all the tasks.
activity 	 కార్యాచరణ 	ఈ సమస్యను పరిష్కరించడానికి సరైన కార్యాచరణ అవసరం.	A proper course of action is necessary to solve this problem.
actor 	 నటుడు 	ఆ నటుడు తన అభినయంతో ప్రేక్షకులను మెప్పించాడు.	That actor impressed the audience with his performance.
actress 	 నటి 	ఆ నటి తన పాత్రను బాగా నటించింది.	That actress performed her role very well.
actual 	 అసలు 	అసలు అతను ఇక్కడికి వచ్చాడా?	Did he actually come here?
actually 	 నిజానికి 	నిజానికి, ఈ విషయం గురించి నాకు ముందే తెలుసు.	In fact, I already knew about this.
ad 	 ప్రకటన 	ప్రభుత్వం కొత్త విధానంపై ప్రకటన చేసింది.	The government made an announcement about the new policy.
adapt 	 స్వీకరించు 	ఆమె ఆహ్వానాన్ని సంతోషంగా స్వీకరించింది.	She gladly accepted the invitation.
add 	 జోడించు 	ఈ ఫైల్‌కు ఒక డాక్యుమెంట్‌ను జోడించు.	Attach a document to this file.
addition 	 అదనంగా 	అదనంగా ఇంకొన్ని వివరాలు పంపించండి.	Send additional details.
additional 	 అదనపు 	అతను అదనపు పనిని చేయడానికి సిద్ధంగా ఉన్నాడు.	He is ready to do extra work.
add on 	 జోడించు 	ప్రతివాదానికి మరిన్ని సాక్ష్యాలను జోడించు.	Add more evidence to the defense.
address 	 చిరునామా 	మీరు దయచేసి మీ కొత్త చిరునామా ఇవ్వగలరా?	Could you please provide your new address?
add up 	 చేర్చండి 	ఈ జాబితాలో నా పేరును కూడా చేర్చండి.	Please add my name to this list as well.
add up to 	 వరకు జోడించండి 	ఈ ఖర్చులు రూ. 10,000 వరకు చేరుకున్నాయి.	These expenses added up to ₹10,000.
adequate 	 తగినంత 	ఈ పనిని పూర్తి చేయడానికి తగినంత సమయం ఉంది.	There is enough time to complete this work.
adequately 	 తగినంతగా 	న    	na   
adjust 	 సర్దుబాటు 	న    	na   
admiration 	 మెచ్చుకోవడం 	న    	na   
admire 	 మెచ్చుకుంటారు 	న    	na   
admit 	 ఒప్పుకుంటారు 	న    	na   
adopt 	 స్వీకరించు 	న    	na   
adult 	 పెద్దలు 	న    	na   
advance 	 ముందుకు 	న    	na   
advanced 	 అభివృద్ధి చెందింది 	న    	na   
advantage 	 ప్రయోజనం 	న    	na   
adventure 	 సాహసం 	న    	na   
advert 	 ప్రకటన 	న    	na   
advertise 	 ప్రచారం చేయండి 	న    	na   
advertisement 	 ప్రకటన 	న    	na   
advertising 	 ప్రకటనలు 	న    	na   
advice 	 సలహా 	న    	na   
advise 	 సలహా ఇవ్వండి 	న    	na   
affair 	 వ్యవహారం 	న    	na   
affect 	 ప్రభావితం చేస్తాయి 	న    	na   
affection 	 ఆప్యాయత 	న    	na   
afford 	 స్థోమత 	న    	na   
afraid 	 భయపడ్డాను 	న    	na   
after 	 తర్వాత 	న    	na   
afternoon 	 మధ్యాహ్నం 	న    	na   
afterwards 	 తరువాత 	న    	na   
again 	 మళ్ళీ 	న    	na   
against 	 వ్యతిరేకంగా 	న    	na   
age 	 వయస్సు 	న    	na   
aged 	 వృద్ధుడు 	న    	na   
agency 	 ఏజెన్సీ 	న    	na   
agent 	 ఏజెంట్ 	న    	na   
aggressive 	 దూకుడు 	న    	na   
ago 	 క్రితం 	న    	na   
agree 	 అంగీకరిస్తున్నారు 	న    	na   
agreement 	 ఒప్పందం 	న    	na   
ahead 	 ముందుకు 	న    	na   
aid 	 సహాయం 	న    	na   
aim 	 లక్ష్యం 	న    	na   
air 	 గాలి 	న    	na   
aircraft 	 విమానం 	న    	na   
airport 	 విమానాశ్రయం 	న    	na   
alarm 	 అలారం 	న    	na   
alarmed 	 అప్రమత్తమయ్యారు 	న    	na   
alarming 	 ఆందోళనకరమైన 	న    	na   
alcohol 	 మద్యం 	న    	na   
alcoholic 	 మద్యపానం 	న    	na   
alive 	 సజీవంగా 	న    	na   
all 	 అన్ని 	న    	na   
allied 	 పొత్తు పెట్టుకుంది 	న    	na   
allow 	 అనుమతిస్తాయి 	న    	na   
allow for 	 అనుమతిస్తాయి 	న    	na   
all right 	 సరే 	న    	na   
ally 	 మిత్రుడు 	న    	na   
almost 	 దాదాపు 	న    	na   
alone 	 ఒంటరిగా 	న    	na   
along 	 పాటు 	న    	na   
alongside 	 పక్కన 	న    	na   
aloud 	 బిగ్గరగా 	న    	na   
alphabet 	 వర్ణమాల 	న    	na   
alphabetical 	 అక్షరక్రమం 	న    	na   
alphabetically 	 అక్షరక్రమంలో 	న    	na   
already 	 ఇప్పటికే 	న    	na   
also 	 కూడా 	న    	na   
alter 	 మార్చు 	న    	na   
alternative 	 ప్రత్యామ్నాయం 	న    	na   
alternatively 	 ప్రత్యామ్నాయంగా 	న    	na   
although 	 అయినప్పటికీ 	న    	na   
altogether 	 పూర్తిగా 	న    	na   
always 	 ఎల్లప్పుడూ 	న    	na   
a.m. 	 a.m. 	న    	na   
amaze 	 ఆశ్చర్యపరుస్తాయి 	న    	na   
amazed 	 ఆశ్చర్యపోయాడు 	న    	na   
amazing 	 అద్భుతమైన 	న    	na   
ambition 	 ఆశయం 	న    	na   
ambulance 	 అంబులెన్స్ 	న    	na   
among 	 మధ్య 	న    	na   
amount 	 మొత్తం 	న    	na   
amount to 	 మొత్తం 	న    	na   
amuse 	 వినోదం 	న    	na   
amused 	 నవ్వించాడు 	న    	na   
amusing 	 వినోదభరితమైన 	న    	na   
analyse 	 విశ్లేషించండి 	న    	na   
analysis 	 విశ్లేషణ 	న    	na   
ancient 	 పురాతనమైనది 	న    	na   
and 	 మరియు 	న    	na   
anger 	 కోపం 	న    	na   
angle 	 కోణం 	న    	na   
angrily 	 కోపంగా 	న    	na   
angry 	 కోపంగా 	న    	na   
animal 	 జంతువు 	న    	na   
ankle 	 చీలమండ 	న    	na   
anniversary 	 వార్షికోత్సవం 	న    	na   
announce 	 ప్రకటించండి 	న    	na   
annoy 	 బాధించు 	న    	na   
annoyed 	 చిరాకుపడ్డాడు 	న    	na   
annoying 	 బాధించే 	న    	na   
annual 	 వార్షిక 	న    	na   
annually 	 ఏటా 	న    	na   
another 	 మరొకటి 	న    	na   
answer 	 సమాధానం 	న    	na   
anti- 	 వ్యతిరేక 	న    	na   
anticipate 	 ఎదురుచూడాలి 	న    	na   
anxiety 	 ఆందోళన 	న    	na   
anxious 	 ఆత్రుతగా 	న    	na   
anxiously 	 ఆత్రుతగా 	న    	na   
any 	 ఏదైనా 	న    	na   
anybody 	 ఎవరైనా 	న    	na   
anyone 	 ఎవరైనా 	న    	na   
anything 	 ఏదైనా 	న    	na   
anyway 	 ఏమైనప్పటికీ 	న    	na   
anywhere 	 ఎక్కడైనా 	న    	na   
apart 	 వేరుగా 	న    	na   
apart from 	 కాకుండా 	న    	na   
apartment 	 అపార్ట్మెంట్ 	న    	na   
apologize 	 క్షమాపణ చెప్పండి 	న    	na   
apparent 	 స్పష్టమైన 	న    	na   
apparently 	 స్పష్టంగా 	న    	na   
appeal 	 విజ్ఞప్తి 	న    	na   
appear 	 కనిపిస్తాయి 	న    	na   
appearance 	 ప్రదర్శన 	న    	na   
apple 	 ఆపిల్ 	న    	na   
application 	 అప్లికేషన్ 	న    	na   
apply 	 దరఖాస్తు 	న    	na   
appoint 	 నియమిస్తారు 	న    	na   
appointment 	 నియామకం 	న    	na   
appreciate 	 అభినందిస్తున్నాము 	న    	na   
approach 	 విధానం 	న    	na   
appropriate 	 తగిన 	న    	na   
approval 	 ఆమోదం 	న    	na   
approve 	 ఆమోదించండి 	న    	na   
approving 	 ఆమోదించడం 	న    	na   
approximate 	 సుమారుగా 	న    	na   
approximately 	 సుమారుగా 	న    	na   
April 	 ఏప్రిల్ 	న    	na   
area 	 ప్రాంతం 	న    	na   
argue 	 వాదిస్తారు 	న    	na   
argument 	 వాదన 	న    	na   
arise 	 తలెత్తుతాయి 	న    	na   
arm 	 చేయి 	న    	na   
armed 	 సాయుధ 	న    	na   
arms 	 చేతులు 	న    	na   
army 	 సైన్యం 	న    	na   
around 	 చుట్టూ 	న    	na   
arrange 	 ఏర్పాట్లు 	న    	na   
arrangement 	 అమరిక 	న    	na   
arrest 	 అరెస్టు 	న    	na   
arrival 	 రాక 	న    	na   
arrive 	 చేరుకుంటారు 	న    	na   
arrive at 	 వద్దకు చేరుకుంటారు 	న    	na   
arrow 	 బాణం 	న    	na   
art 	 కళ 	న    	na   
article 	 వ్యాసం 	న    	na   
artificial 	 కృత్రిమ 	న    	na   
artificially 	 కృత్రిమంగా 	న    	na   
artist 	 కళాకారుడు 	న    	na   
artistic 	 కళాత్మకమైనది 	న    	na   
artistically 	 కళాత్మకంగా 	న    	na   
as 	 వంటి 	న    	na   
ashamed 	 సిగ్గుపడ్డాడు 	న    	na   
aside 	 ప్రక్కన 	న    	na   
aside from 	 పక్కన 	న    	na   
ask 	 అడగండి 	న    	na   
asleep 	 నిద్రపోతున్నాను 	న    	na   
aspect 	 అంశం 	న    	na   
assist 	 సహాయం 	న    	na   
assistance 	 సహాయం 	న    	na   
assistant 	 సహాయకుడు 	న    	na   
associate 	 సహచరుడు 	న    	na   
associated 	 అనుబంధించబడింది 	న    	na   
association 	 సంఘం 	న    	na   
assume 	 ఊహిస్తారు 	న    	na   
assure 	 భరోసా 	న    	na   
at 	 వద్ద 	న    	na   
atmosphere 	 వాతావరణం 	న    	na   
atom 	 పరమాణువు 	న    	na   
attach 	 అటాచ్ చేయండి 	న    	na   
attached 	 జోడించబడింది 	న    	na   
attack 	 దాడి 	న    	na   
attempt 	 ప్రయత్నం 	న    	na   
attempted 	 ప్రయత్నించాడు 	న    	na   
attend 	 హాజరు 	న    	na   
attend to 	 హాజరు 	న    	na   
attention 	 శ్రద్ధ 	న    	na   
attitude 	 వైఖరి 	న    	na   
attorney 	 న్యాయవాది 	న    	na   
attract 	 ఆకర్షిస్తాయి 	న    	na   
attraction 	 ఆకర్షణ 	న    	na   
attractive 	 ఆకర్షణీయమైన 	న    	na   
audience 	 ప్రేక్షకులు 	న    	na   
August 	 ఆగస్టు 	న    	na   
aunt 	 అత్త 	న    	na   
author 	 రచయిత 	న    	na   
authority 	 అధికారం 	న    	na   
automatic 	 ఆటోమేటిక్ 	న    	na   
automatically 	 స్వయంచాలకంగా 	న    	na   
autumn 	 శరదృతువు 	న    	na   
available 	 అందుబాటులో 	న    	na   
average 	 సగటు 	న    	na   
avoid 	 నివారించండి 	న    	na   
awake 	 మేల్కొని 	న    	na   
award 	 అవార్డు 	న    	na   
aware 	 తెలుసు 	న    	na   
away 	 దూరంగా 	న    	na   
awful 	 భయంకరం 	న    	na   
awfully 	 భయంకరంగా 	న    	na   
awkward 	 ఇబ్బందికరమైన 	న    	na   
awkwardly 	 వికారంగా 	న    	na   
baby 	 శిశువు 	న    	na   
back 	 తిరిగి 	న    	na   
background 	 నేపథ్యం 	న    	na   
back up 	 బ్యాకప్ 	న    	na   
backward 	 వెనుకబడిన 	న    	na   
backwards 	 వెనుకకు 	న    	na   
bacteria 	 బాక్టీరియా 	న    	na   
bad 	 చెడు 	న    	na   
badly 	 చెడుగా 	న    	na   
bad-tempered 	 చెడు స్వభావం కలవాడు 	న    	na   
bag 	 సంచి 	న    	na   
baggage 	 సామాను 	న    	na   
bake 	 కాల్చండి 	న    	na   
balance 	 సంతులనం 	న    	na   
ball 	 బంతి 	న    	na   
ban 	 నిషేధించండి 	న    	na   
band 	 బ్యాండ్ 	న    	na   
bandage 	 కట్టు 	న    	na   
bank 	 బ్యాంకు 	న    	na   
bar 	 బార్ 	న    	na   
bargain 	 బేరం 	న    	na   
barrier 	 అడ్డంకి 	న    	na   
base 	 బేస్ 	న    	na   
based 	 ఆధారంగా 	న    	na   
base on 	 ఆధారంగా 	న    	na   
basic 	 ప్రాథమిక 	న    	na   
basically 	 ప్రాథమికంగా 	న    	na   
basis 	 ఆధారంగా 	న    	na   
bath 	 స్నానం 	న    	na   
bathroom 	 బాత్రూమ్ 	న    	na   
battery 	 బ్యాటరీ 	న    	na   
battle 	 యుద్ధం 	న    	na   
bay 	 బే 	న    	na   
be 	 ఉంటుంది 	న    	na   
beach 	 బీచ్ 	న    	na   
beak 	 ముక్కు 	న    	na   
bear 	 ఎలుగుబంటి 	న    	na   
beard 	 గడ్డం 	న    	na   
beat 	 కొట్టారు 	న    	na   
beat up 	 కొట్టారు 	న    	na   
beautiful 	 అందమైన 	న    	na   
beautifully 	 అందంగా 	న    	na   
beauty 	 అందం 	న    	na   
because 	 ఎందుకంటే 	న    	na   
because of 	 ఎందుకంటే 	న    	na   
become 	 అవుతాయి 	న    	na   
bed 	 మంచం 	న    	na   
bedroom 	 పడకగది 	న    	na   
beef 	 గొడ్డు మాంసం 	న    	na   
beer 	 బీరు 	న    	na   
before 	 ముందు 	న    	na   
begin 	 ప్రారంభం 	న    	na   
beginning 	 ప్రారంభం 	న    	na   
behalf 	 తరపున 	న    	na   
behave 	 ప్రవర్తిస్తారు 	న    	na   
behaviour 	 ప్రవర్తన 	న    	na   
behind 	 వెనుక 	న    	na   
be left over 	 మిగులుతుంది 	న    	na   
belief 	 నమ్మకం 	న    	na   
believe 	 నమ్మకం 	న    	na   
believe in 	 నమ్మకం 	న    	na   
bell 	 గంట 	న    	na   
belong 	 చెందినవి 	న    	na   
belong to 	 చెందినవి 	న    	na   
below 	 క్రింద 	న    	na   
belt 	 బెల్ట్ 	న    	na   
bend 	 వంచు 	న    	na   
beneath 	 కింద 	న    	na   
benefit 	 ప్రయోజనం 	న    	na   
bent 	 వంగి 	న    	na   
beside 	 పక్కన 	న    	na   
best 	 ఉత్తమమైనది 	ఈ పుస్తకం ఉత్తమమైనది, మీకు ఇది చదవడం తప్పనిసరిగా అవసరం.	This book is excellent; you definitely need to read it.
bet 	 పందెం 	అతను క్రికెట్ మ్యాచ్‌పై పందెం వేసాడు. 	He placed a bet on the cricket match.
better 	 మెరుగైన 	ఈ కొత్త పద్ధతులు మెరుగైన ఫలితాలను ఇస్తున్నాయి.	These new methods are yielding better results.
betting 	 బెట్టింగ్ 	క్రికెట్ మ్యాచ్‌లపై బెట్టింగ్ చేయడం కట్టుదిట్టంగా నిషేదించబడింది. 	Betting on cricket matches is strictly prohibited.
between 	 మధ్య 	ఆమె రెండు పుస్తకాలు మధ్య కూర్చుంది. 	She sat between the two books.
beyond 	 దాటి 	ఆ నది దాటి దారి పయనించాలి.	You need to travel across the river.
bicycle 	 సైకిల్ 	నేను నిన్న సైకిల్ మీద నడిచాను.	I rode a bicycle yesterday.
bid 1 	 వేలం 1 	ఆ వేలంలో అతను రూ. 10,000 వేలం పెట్టాడు.  వేడుకలో అతను వేలం పట్టారు.	He placed a bid of ₹10,000 in the auction.  He threw the spear during the celebration.
big 	 పెద్ద 	అది ఒక పెద్ద పుస్తకం.	That is a big book.
bike 	 బైక్ 	అతనికి కొత్త బైక్ కొనే ఆసక్తి ఉంది.	He is interested in buying a new bike.
bill 	 బిల్లు 	నా కరెంటు బిల్లు ఈ నెలలో వచ్చిది.	My electricity bill came this month.
billion 	 బిలియన్ 	ప్రపంచ జనాభా సుమారు 7 బిలియన్ మందిగా అంచనా వేయబడింది.	The world's population is estimated to be around 7 billion people.
bin 	 డబ్బా 	ఆమె ఆహారాన్ని డబ్బాలో పెట్టింది.	She put the food in the box.
biology 	 జీవశాస్త్రం 	నాకు జీవశాస్త్రం చాలా ఇష్టమైంది. 	I like biology a lot.
bird 	 పక్షి 	ఆ పక్షి చాలా అందంగా ఉంది. 	That bird is very beautiful.
birth 	 పుట్టుక 	ప్రకృతిలో ప్రతి జీవి పుట్టుక కంటే చాలా ప్రత్యేకం.	Every living being in nature is unique in its birth.
birthday 	 పుట్టినరోజు 	ఈ సంవత్సరం నా పుట్టినరోజు వేడుక చాలా ప్రత్యేకంగా ఉంది.	This year's birthday celebration is very special.
biscuit 	 బిస్కెట్ 	కాఫీతో బిస్కెట్ తినడం చాలా ఆసక్తికరంగా ఉంటుంది.	Eating biscuits with coffee is very enjoyable.
bit 	 బిట్ 	అతనికి కంప్యూటర్‌లో పనిచేయడానికి మంచి బిట్ వివరాలు ఉన్నాయి.	He has good bit details to work on the computer.
bite 	 కొరుకు 	అతనికి ఒక మురికి పాము కొరుకు పెట్టింది.  ఈ ప్రాంతంలో నీటి కొరుకు ఉందని చెప్పారు.	A dirty snake bit him.  They said there is a shortage of water in this area.
bitter 	 చేదు 	ఆ కాయికలు చేదుగా ఉన్నాయి.	Those vegetables are bitter.
bitterly 	 చేదుగా 	అతను ప్రదర్శనలో చెదుగా ప్రవర్తించాడు.	He behaved badly during the performance.
black 	 నలుపు 	ఆమెకు నలుపు రంగు చాలా ఇష్టం.	She likes the color black very much.
blade 	 బ్లేడ్ 	ఈ కత్తి బ్లేడ్ చాలా కట్టింగ్ పవర్ కలిగి ఉంది.	This knife blade has a lot of cutting power.
blame 	 నిందిస్తారు 	అతను విఫలమైన పనుల గురించి నిందిస్తారు.	They criticize him for his failed work.
blank 	 ఖాళీ 	దయచేసి ఈ ఫారంలో ఖాళీ ప్రదేశాలను పూరించండి.	Please fill in the blank spaces in this form.
blind 	 అంధుడు 	అంధుడు తన అడ్డంకులను ధైర్యంగా ఎదుర్కొన్నాడు.	The blind man faced his challenges bravely.
block 	 నిరోధించు 	రోగాన్ని నిరోధించడానికి ముందు జాగ్రత్తలు తీసుకోవాలి.	Precautions must be taken to prevent the disease.
blonde 	 అందగత్తె, తెల్లటి జుట్టు ఉన్న 	ఆమెను అందగత్తె అని అందరూ పిలుస్తారు.  అందరూ ఆమెను తెల్లటి జుట్టు ఉన్న అమ్మాయిగా పిలుస్తారు.	Everyone calls her a beautiful woman.  Everyone calls her a blonde.
blood 	 రక్తం 	రక్తం శరీరంలో ఎంతో ముఖ్యమైన పాత్ర పోషిస్తుంది.	Blood plays a very important role in the body.
blow 	 దెబ్బ 	ప్రమాదంలో అతనికి తలపై తీవ్ర దెబ్బతగిలింది.	He received a severe blow to the head in the accident.
blow out 	 బయటకు ఊదండి 	మోములను ఆర్పేప్పుడు, బట్టలు మంటల్లో పడకుండా బయటకు ఊదండి.	When blowing out the candles, blow outside to avoid cloths falling into the flames.
blow up 	 పేల్చివేయు 	వారు బాంబును పేల్చివేయాలని యోచిస్తున్నారు.	They are planning to detonate the bomb.
blue 	 నీలం 	ఆకాశం నీలంగా ఉంది.	The sky is blue.
board 	 బోర్డు 	స్కూల్‌లో కొత్త బోర్డు ఏర్పాటు చేశారు.	A new board has been set up in the school.
boat 	 పడవ 	మేము నదిలో పడవలో ప్రయాణించాం.	We traveled by boat on the river.
body 	 శరీరం 	అతని శరీరం మంచి ఆరోగ్యంగా ఉంది.	His body is in good health.
boil 	 ఉడకబెట్టండి 	అతనిని ఉడకబెట్టడం మంచిది కాదు.  నీళ్లను ఉడకబెట్టండి, తరువాత కూరలో వేసి వేయించండి.	It is not good to embarrass him.  Boil the water, then add it to the curry.
bomb 	 బాంబు 	ఉగ్రవాదులు బాంబును పేల్చివేశారు.	The terrorists detonated the bomb.
bone 	 ఎముక 	ఆమెకు ఎముకలు బలంగా ఉండాలి.	She needs to have strong bones.
book 	 పుస్తకం 	నేను ఈ పుస్తకం చదివాను, ఇది చాలా ఆసక్తికరమైనది.	I read this book, and it is very interesting.
boot 	 బూట్ 	అతను బూట్లను నప్పిడి పెట్టాడు.	He wore the boots.
border 	 సరిహద్దు 	ఇది మన దేశానికి సంబంధించిన సరిహద్దు ప్రాంతం.	This is a border area related to our country.
bore 	 బోర్ కొట్టింది 	మా క్లాస్‌లో బోర్ కొట్టింది, అందుకే నేను పుస్తకం చదివాను.	I got bored in our class, so I read a book.
bored 	 బోర్ కొట్టింది 	ఈ పాఠం నాకు చాలా బోర్ కొట్టింది.	This lesson bored me a lot.
boring 	 నిరాసాగా 	ఈ సినిమా చాలా నిరాసాగా ఉంది.	This movie is very boring.
born 	 పుట్టింది 	ఆమెకు కూతురు పుట్టింది.	She gave birth to a daughter.
borrow 	 అప్పు తీసుకుంటారు 	అతను నూతన ఇంటిని కొనడానికి అప్పు తీసుకుంటాడు.	He takes a loan to buy a new house.
boss 	 బాస్ 	న    	na   
both 	 రెండూ 	న    	na   
bother 	 ఇబ్బంది పెడతారు 	న    	na   
bottle 	 సీసా 	న    	na   
bottom 	 దిగువన 	న    	na   
bound 	 కట్టుబడి 	న    	na   
bowl 	 గిన్నె 	న    	na   
box 	 పెట్టె 	న    	na   
boy 	 అబ్బాయి 	న    	na   
boyfriend 	 ప్రియుడు 	న    	na   
brain 	 మెదడు 	న    	na   
branch 	 శాఖ 	న    	na   
brand 	 బ్రాండ్ 	న    	na   
brave 	 ధైర్యవంతుడు 	న    	na   
bread 	 రొట్టె 	న    	na   
break 	 బ్రేక్ 	న    	na   
break down 	 విచ్ఛిన్నం 	న    	na   
breakfast 	 అల్పాహారం 	న    	na   
break in 	 లోపలికి ప్రవేశించండి 	న    	na   
break into 	 ప్రవేశించండి 	న    	na   
break off 	 విడిపోతాయి 	న    	na   
break out 	 విరుచుకుపడతాయి 	న    	na   
break up 	 విడిపోతారు 	న    	na   
breast 	 రొమ్ము 	న    	na   
breath 	 శ్వాస 	న    	na   
breathe 	 ఊపిరి పీల్చుకుంటారు 	న    	na   
breathe in 	 ఊపిరి పీల్చుకోండి 	న    	na   
breathe out 	 ఊపిరి పీల్చుకోండి 	న    	na   
breathing 	 శ్వాస 	న    	na   
breed 	 జాతి 	న    	na   
brick 	 ఇటుక 	న    	na   
bridge 	 వంతెన 	న    	na   
brief 	 క్లుప్తంగా 	న    	na   
briefly 	 క్లుప్తంగా 	న    	na   
bright 	 ప్రకాశవంతమైన 	న    	na   
brightly 	 ప్రకాశవంతంగా 	న    	na   
brilliant 	 తెలివైన 	న    	na   
bring 	 తీసుకురండి 	న    	na   
bring back 	 తిరిగి తీసుకురండి 	న    	na   
bring down 	 దించు 	న    	na   
bring forward 	 ముందుకు తీసుకురండి 	న    	na   
bring out 	 బయటకు తీసుకురండి 	న    	na   
bring up 	 తీసుకురండి 	న    	na   
broad 	 విశాలమైనది 	న    	na   
broadcast 	 ప్రసారం 	న    	na   
broadly 	 విస్తృతంగా 	న    	na   
broken 	 విరిగిపోయింది 	న    	na   
brother 	 సోదరుడు 	న    	na   
