a 	 ﻿a
amazing 	 అద్భుతం
ambition 	 ఆశయం
ambulance 	 అంబులెన్స్
among 	 లో
amount 	 మొత్తం
amount to 	 ఈ మొత్తం
amuse 	 ఆహ్లాదాన్ని కలిగిస్తుంది
amused 	 సరదాగా ఉంది
amusing 	 సరదాగా ఉంది
analyse 	 విడదీయు
analysis 	 విశ్లేషణ
ancient 	 పాత
and 	 మరియు
anger 	 కోపం
angle 	 కోణం
angrily 	 కోపంగా
angry 	 కోపం
animal 	 జంతువు
ankle 	 చీలమండ
anniversary 	 వార్షికోత్సవం
announce 	 ప్రకటించు
annoy 	 చిరాకు
annoyed 	 విసుగెత్తిపోవు
annoying 	 చిరాకు కలిగిస్తుంది
annual 	 వార్షిక
annually 	 ఏటా
another 	 వేరొక
answer 	 జవాబు
anti- 	 యాంటీ-
anticipate 	 ఎదురుచూచు
anxiety 	 ఆత్రుత
anxious 	 ఆత్రుత
anxiously 	 ఆత్రుతగా
any 	 ఏదైనా
anybody 	 ఎవరైనా
anyone 	 ఎవరైనా
anything 	 ఏదైనా
anyway 	 ఏదేమైనా
anywhere 	 ఎక్కడైనా
apart 	 ప్రత్యేకంగా
apart from 	 కాకుండా
apartment 	 అపార్ట్ మెంట్
apologize 	 క్షమాపణ చెప్పండి
apparent 	 దృశ్యమాన
apparently 	 చూడటానికి
appeal 	 నివేదన
appear 	 కనిపించు
appearance 	 పొడ
apple 	 ఆపిల్ పండు
application 	 పూత
apply 	 సరిపడు
appoint 	 నియమించు
appointment 	 నియామకం
appreciate 	 మెచ్చుకొను
approach 	 సమీపించు
appropriate 	 తగిన
approval 	 ఆమోదం
approve 	 ఆమోదించు
approving 	 ఆమోదిస్తూ
approximate 	 సుమారు
approximately 	 ఇంచు మించు
April 	 ఏప్రిల్
area 	 ప్రాంతం
argue 	 వాదించు
argument 	 వాదన
arise 	 తలెత్తు
arm 	 బాహువు
armed 	 సాయుధ
arms 	 చేతులు
army 	 సైన్యం
around 	 సుమారుగా
arrange 	 అమర్చు
arrangement 	 ఏర్పాటు
arrest 	 చెర
arrival 	 వచ్చి చేరడం
arrive 	 చేరు
arrive at 	 రండి
arrow 	 బాణము
art 	 కళ
article 	 వస్తువు
artificial 	 కృత్రిమమైన
artificially 	 కృత్రిమంగా
artist 	 చిత్రకారుడు
artistic 	 కళాత్మక
artistically 	 కళాత్మకంగా
as 	 లాంటి
ashamed 	 సిగ్గు
aside 	 పక్కకు
aside from 	 పక్కన పెడితే..
ask 	 అడుగు
asleep 	 నిద్ర
aspect 	 అంశం
assist 	 తోడ్పడు
assistance 	 అండ
assistant 	 సహాయకుడు
associate 	 సహచరుడు
associated 	 అసోసియేటెడ్
association 	 సాంగత్యం
assume 	 అనుకో
assure 	 భరోసా ఇవ్వండి
at 	 వద్ద
atmosphere 	 వాతావరణం
atom 	 పరమాణువు
attach 	 అంటించు
attached 	 జతచేయబడింది
attack 	 దాడి
attempt 	 ప్రయత్నించు
attempted 	 ప్రయత్నించారు.
attend 	 పాల్గొను
attend to 	 దీనికి హాజరు అవ్వండి
attention 	 ధ్యాస
attitude 	 తీరు
attorney 	 న్యాయవాది
attract 	 ఆకర్షించు
attraction 	 ఆకర్షణ
attractive 	 ఆకట్టుకునే
audience 	 వినువారు
August 	 ఆగస్ట్
aunt 	 అత్త
author 	 రచయిత
authority 	 అధికారం
automatic 	 automatic
automatically 	 స్వయంచాలకంగా
autumn 	 శరత్కాలం
available 	 దొరుకు
average 	 సగటు
avoid 	 తప్పించుకో
awake 	 మేల్కొని ఉండడం
award 	 పురస్కారం
aware 	 ఎరిగిన
away 	 అవతలికి
awful 	 భయంకరంగా ఉంది
awfully 	 భయంకరంగా ఉంది
awkward 	 ఇబ్బందికరంగా ఉంది
awkwardly 	 వికారంగా
baby 	 పసికందు
back 	 వీపు
background 	 నేపథ్యం
back up 	 బ్యాకప్
backward 	 వెనకబడ్డ
backwards 	 వెనుకకు
bacteria 	 బాక్టీరియా
bad 	 చెడు
badly 	 ఘోరంగా
bad-tempered 	 చెడు-కోపం
bag 	 సంచి
baggage 	 లగేజీ
bake 	 బేక్
balance 	 తక్కెడ
ball 	 బంతి
ban 	 నిషేధించు
band 	 కట్టు
bandage 	 కట్టు
bank 	 ఒడ్డు
bar 	 కమ్మి
bargain 	 బేరం
barrier 	 ఆటంకం
base 	 పునాది
based 	 ఆధారిత
base on 	 ఆధారం
basic 	 మౌలిక
basically 	 ప్రాథమికంగా
basis 	 ఆకరం
bath 	 స్నానము
bathroom 	 స్నానాలగది
battery 	 బ్యాటరీ
battle 	 యుద్ధము
bay 	 అఖాతం
be 	 అవ్వు
beach 	 బీచ్
beak 	 నోరు
bear 	 ఎలుగుబంటి
beard 	 గడ్డం
beat 	 కొట్టు
beat up 	 కొట్టబడింది
beautiful 	 అందమైన
beautifully 	 అందంగా
beauty 	 అందం
because 	 ఎందుకంటే
because of 	 వల్ల
become 	 అవు
bed 	 పడక
bedroom 	 పడక గది
beef 	 గొడ్డు మాంసం
beer 	 బీరు
before 	 ముందు
begin 	 ప్రారంభించు
beginning 	 మొదలు
behalf 	 తరఫున
behave 	 ప్రవర్తించు
behaviour 	 ప్రవర్తన
behind 	 వెనక
be left over 	 వదిలేయాలి
belief 	 నమ్మిక
believe 	 నమ్ము
believe in 	 నమ్మండి
bell 	 గంట
belong 	 చెందు
belong to 	 దేనికి చెందినది
below 	 కింద
belt 	 బెల్టు
bend 	 వంగు
beneath 	 క్రింద
benefit 	 ప్రయోజనం
bent 	 వంకర
beside 	 పక్కన
best 	 అత్యుత్తమ
bet 	 పందెం
better 	 మేలు
betting 	 బెట్టింగ్
between 	 మధ్య
beyond 	 అటుపైన
bicycle 	 సైకిలు
bid 1 	 బిడ్ 1
big 	 పెద్ద
bike 	 సైకిలు
bill 	 బిల్లు
billion 	 బిలియన్
bin 	 తొట్టి
biology 	 జీవశాస్త్రం
bird 	 పిట్ట
birth 	 పుట్టుక
birthday 	 పుట్టినరోజు
biscuit 	 బిస్కెట్
bit 	 తునక
bite 	 కుట్టు
bitter 	 చేదు
bitterly 	 చేదుగా
black 	 నలుపు
blade 	 బ్లేడు
blame 	 నింద
blank 	 ఖాళీ
blind 	 గుడ్డి
block 	 అడ్డగించు
blonde 	 అందగత్తె
blood 	 రక్తం
blow 	 ఊదు
blow out 	 పేలిపోండి
blow up 	 పేలిపోండి
blue 	 నీలం
board 	 పలక
boat 	 పడవ
body 	 దేహం
boil 	 కాగు
bomb 	 బాంబు
bone 	 ఎముక
book 	 పుస్తకం
boot 	 బూటు
border 	 కొంగు
bore 	 విసిగించు
bored 	 విసుగు చెందింది
boring 	 బోరింగ్
born 	 పుట్టిన
borrow 	 అప్పు చేయు
boss 	 బాస్
both 	 రెండు
bother 	 పట్టించు
bottle 	 సీసా
bottom 	 క్రింద
bound 	 బద్ధ
bowl 	 గిన్నె
box 	 పెట్టె
boy 	 అబ్బాయి
boyfriend 	 ప్రియుడు
brain 	 మెదడు
branch 	 కొమ్మ
brand 	 వాత
brave 	 ధైర్యవంతులు
bread 	 రొట్టె
break 	 తెంపు
break down 	 విచ్ఛిన్నం చేయండి
breakfast 	 చద్ది
break in 	 బ్రేక్ ఇన్
break into 	 అందులోకి ప్రవేశించండి
break off 	 బ్రేక్ ఆఫ్
break out 	 బ్రేక్ అవుట్
break up 	 విడిపోవటం
breast 	 రొమ్ము
breath 	 ఊపిరి
breathe 	 ఊపిరి పీల్చు
breathe in 	 పీల్చు
breathe out 	 నిశ్వాసించు
breathing 	 ఊపిరి
breed 	 జాతి
brick 	 ఇటుక
bridge 	 వంతెన
brief 	 టూకీ
briefly 	 క్లుప్తంగా
bright 	 ప్రకాశవంతమైన
brightly 	 ప్రకాశవంతంగా
brilliant 	 అద్భుతమైనది
bring 	 తెచ్చు
bring back 	 తిరిగి తీసుకురండి
bring down 	 కిందకు దించండి
bring forward 	 ముందుకు తీసుకురండి
bring out 	 బయటకు తీసుకురండి
bring up 	 పెంచు
broad 	 విశాలమైన
broadcast 	 ప్రసారం చేయు
broadly 	 స్థూలంగా
broken 	 పగిలిన
brother 	 తమ్ముడు
brown 	 పింగళము
brush 	 తుడువు
bubble 	 బుడగ
budget 	 బడ్జెట్
build 	 నిర్మించు
building 	 కట్టడం
build up 	 బిల్ అప్ చేయండి
bullet 	 తూటా
bunch 	 గుత్తి
burn 	 మండు
burn down 	 కాలిపోవడం
burnt 	 కాలిన
burst 	 తెగు
burst into 	 పేలిపోయింది.
burst out 	 పేలిపోయింది.
bury 	 పూడ్చు
bus 	 బస్సు
bush 	 పొద
business 	 పని
businessman 	 షావుకారు
busy 	 తీరికలేని
but 	 కాని
butter 	 వెన్న
button 	 గుండీ
buy 	 కొను
buyer 	 కొనుగోలుదారు
by 	 గుండా
bye 	 ఇక ఉంటా
cabinet 	 క్యాబినెట్
cable 	 కేబుల్
cake 	 కేక్
calculate 	 గణించు
calculation 	 గణన
call 	 పిలుపు
call back 	 తిరిగి కాల్ చేయండి
called 	 పిలిచారు
call for 	 కాల్ చేయండి
call off 	 కాల్ ఆఫ్ చేయండి
call up 	 కాల్ అప్ చేయండి
calm 	 ప్రశాంతత
calm down 	 శాంతించండి
calmly 	 ప్రశాంతంగా
camera 	 కెమేరా
camp 	 శిబిరం
campaign 	 దండయాత్ర
camping 	 క్యాంపింగ్
can 1 	 క్యాన్ 1
can 2 	 చేయగలదు 2
cancel 	 రద్దు
cancer 	 కర్కాటకరాశి
candidate 	 అభ్యర్థి
candy 	 ఖండి
cannot 	 సాధ్యం కాదు
cap 	 టోపీ
capable 	 సామర్థ్యం
capacity 	 సామర్థ్యం
capital 	 పెట్టుబడి
captain 	 కెప్టెన్
capture 	 సంగ్రహించు
car 	 కారు
card 	 కార్డు
cardboard 	 అట్ట
care 	 జాగ్రత్త
career 	 వృత్తి
care for 	 ఎన్ను
careful 	 జాగ్రత్త
carefully 	 జాగ్రత్తగా
careless 	 అలక్ష్యం చేయు
carelessly 	 అజాగ్రత్తగా
carpet 	 తివాచి
carrot 	 గాజర్ గడ్డ
carry 	 మోయు
carry on 	 కొనసాగవచ్చు
carry out 	 
case 	 విభక్తి
cash 	 నగదు
cast 	 విసరడం
castle 	 కోట
cat 	 పిల్లి
catch 	 చిక్కుకో
catch up 	 పట్టుకోండి
category 	 కోవ
cause 	 హేతువు
CD 	 CD
cease 	 చాలించు
ceiling 	 లోకప్పు
celebrate 	 జరుపుకోండి
celebration 	 వేడుక
cell 	 కణము
cell phone 	 చరవాణి
cent 	 సెంటు
centimetre 	 centimetre
central 	 కేంద్ర
centre 	 కేంద్రం
century 	 శతాబ్దం
ceremony 	 ఉత్సవం
certain 	 తధ్యం
certainly 	 అవశ్యం
certificate 	 సర్టిఫికేట్
chain 	 గొలుసు
chair 	 కుర్చీ
chairman 	 అధ్యక్షుడు
chairwoman 	 చైర్ పర్సన్
challenge 	 సవాలు
chamber 	 కోష్ఠిక
chance 	 వీలు
change 	 మార్పు
change round 	 రౌండ్ మార్చండి
channel 	 కాలువ
chapter 	 అధ్యాయం
character 	 అక్షరం
characteristic 	 గుణం
charge 	 వెల కట్టు
charity 	 తిరిపెం
chart 	 పట్టిక
chase 	 తరుము
chase away 	 తరిమివేయండి
chat 	 ముచ్చటించు
cheap 	 చౌక
cheaply 	 చౌకగా
cheat 	 మోసగించు
cheat of 	 మోసం చేయడం
check 	 తనిఖీ
check in 	 తనిఖీ
check into 	 చెక్ చేయండి
check on 	 చెక్ చేయండి
check out 	 తనిఖీ
check over 	 చెక్ ఓవర్
check up on 	 చెక్ అప్ చేయండి
cheek 	 చెంప
cheerful 	 ఉల్లాసంగా ఉంది
cheerfully 	 సంతోషంగా
cheese 	 జున్ను
chemical 	 రసాయన
chemist 	 రసాయన శాస్త్రవేత్త
chemistry 	 రసాయన శాస్త్రం
cheque 	 చెక్కు
chest 	 రొమ్ము
chew 	 నములు
chicken 	 కోడి
chief 	 కేతువు
child 	 బిడ్డ
chin 	 గడ్డం
chip 	 ముక్క
chocolate 	 చాక్లెట్
choice 	 ఎన్నిక
choose 	 ఎంచుకో
chop 	 తిరుగు
chop down 	 కత్తిరించండి
chop off 	 కత్తిరించండి
church 	 చర్చి
cigarette 	 సిగరెట్టు
cinema 	 సినిమా
circle 	 వృత్తం
circumstance 	 [మార్చు] పరిస్థితి
citizen 	 పౌరుడు
city 	 నగరం
civil 	 సివిల్
claim 	 చెప్పుకో
clap 	 చప్పట్లు కొట్టు
class 	 తరగతి
classic 	 classic
classroom 	 తరగతిగది
clean 	 కడగడం
clean up 	 శుభ్రం చేయండి
clear 	 స్పష్ట
clearly 	 స్పష్టంగా
clear out 	 క్లియర్ చేయండి
clear up 	 క్లియర్ చేయండి
clerk 	 గుమాస్తా
clever 	 గడుసైన
click 	 క్లిక్ చేయండి
client 	 క్లయింట్
climate 	 వాతావరణం
climb 	 ఎక్కు
climbing 	 పర్వతారోహణ
clock 	 గడియారం
close 1 	 ముగింపు 1
close 2 	 ముగింపు 2
closed 	 నిమీలిత
closely 	 దగ్గరగా
closet 	 closet
cloth 	 బట్ట
clothes 	 దుస్తులు
clothing 	 బట్టలు
cloud 	 మబ్బు
club 	 గద
coach 	 బండి
coal 	 బొగ్గు
coast 	 కోస్తా
coat 	 కోటు
code 	 కోడ్
coffee 	 కాఫీ
coin 	 నాణెం
cold 	 చలి
coldly 	 చల్లగా
collapse 	 పతనం[మార్చు]
colleague 	 సహోద్యోగి
collect 	 వసూలు చెయ్యి
collection 	 సేకరణ
college 	 కాలేజీ
colour 	 రంగు
coloured 	 రంగు
column 	 కాలమ్
combination 	 సంధి
combine 	 కూడు
come 	 రా
come across 	 రండి
come down 	 కిందకు రండి
comedy 	 కామెడీ
come from 	 ఎక్కడి నుంచి వచ్చింది
come in 	 వస్తాయి
come off 	 రండి
come on 	 రండి
come out 	 బయటకు రండి
come round 	 చుట్టూ రండి
come to 	 రండి
come up 	 పైకి రండి
come up to 	 పైకి రండి
comfort 	 సౌకర్యం
comfortable 	 సౌకర్యవంతంగా ఉంది
comfortably 	 దర్జాగా
command 	 ఆజ్ఞ
comment 	 వ్యాఖ్య
commercial 	 వాణిజ్య
commission 	 అడితి
commit 	 కమిట్
commitment 	 అభినివేశం
committee 	 కచేరీ
common 	 సామాన్య
commonly 	 సాధారణంగా
communicate 	 కమ్యూనికేట్ చేయండి
communication 	 సందేశం
community 	 లోకులు
company 	 కంపెనీ
compare 	 పోల్చు
comparison 	 పోల్చడం
compete 	 పోటీ-పడు
competition 	 పోటీ
competitive 	 పోటీ
complain 	 ఫిర్యాదు చేయు
complaint 	 ఫిర్యాదు
complete 	 సమాప్తం
completely 	 పూర్తిగా
complex 	 క్లిష్ట
complicate 	 క్లిష్టత
complicated 	 సంక్లిష్టమైన
computer 	 కంప్యూటర్
concentrate 	 కేంద్రీకరించు
concentrate on 	 వీటిపై దృష్టి పెట్టండి
concentration 	 ఏకాగ్రత
concept 	 భావన
concern 	 పట్టింపు
concerned 	 ఆందోళన చెందుతున్నారు
concerning 	 కూర్చి
concert 	 కచేరీ
conclude 	 ముగించు
conclusion 	 ముగింపు
concrete 	 కాంక్రీట్
condition 	 స్థితి
conduct 	 నడత
conference 	 సదస్సు
confidence 	 నమ్మకం
confident 	 ఆత్మవిశ్వాసం
confidently 	 ఆత్మవిశ్వాసంతో
confine 	 నిర్బంధించు
confined 	 పరిమితం చేయబడింది
confirm 	 ధ్రువపరచు
conflict 	 ఘర్షణ
confront 	 ఎదురవ్వు
confuse 	 తికమక
confused 	 గందరగోళం
confusing 	 గందరగోళం
confusion 	 అల్లరి
congratulate 	 అభినందించు
congratulation 	 అభినందనలు
congress 	 కాంగ్రెస్
connect 	 అనుసంధించు
connected 	 శ్లిష్ట
connection 	 సంబంధం
conscious 	 స్పృహ
consequence 	 పరిణామం
conservative 	 సంప్రదాయవాద
consider 	 ఆలోచించుకో
considerable 	 గణనీయమైనవి
considerably 	 గణనీయంగా
consideration 	 ఆలోచన
consist 	 కలిగి ఉంటాయి
consist of 	 వీటిని కలిగి ఉంటాయి
constant 	 స్థిరం
constantly 	 నిరంతరం
construct 	 నిర్మాణం
construction 	 నిర్మాణం
consult 	 సంప్రదించు
consumer 	 వినియోగదారుడు
contact 	 తాకు
contain 	 కలిగి ఉండు
container 	 డబ్బా
contemporary 	 సమకాలీన
content 1 	 కంటెంట్ 1
contest 	 పోటీ చేయు
context 	 సందర్భం
continent 	 ఖండం
continue 	 కొనసాగు
continuous 	 నిరంతర
continuously 	 నిరంతరం
contract 	 ఒడంబడిక
contrast 	 వైరుధ్యం
contrasting 	 దీనికి విరుద్ధంగా
contribute 	 దోహదం చేయు
contribution 	 చందా
control 	 నియంత్రించు
controlled 	 నియంత్రించబడింది
convenient 	 అనుకూలమైన
convention 	 లోకమర్యాద
conventional 	 సాంప్రదాయిక
conversation 	 సంభాషణ
convert 	 కన్వర్ట్
convince 	 నమ్మించు
cook 	 వంటవాడు
cooker 	 పొయ్యి
cookie 	 kuie
cooking 	 వంట
cool 	 చల్లార్చు
cool down 	 చల్లబరచండి
cope 	 cope
copy 	 ప్రతి
core 	 core
corner 	 మూల
correct 	 అవును
correctly 	 సరిగ్గా
cost 	 వెల
cottage 	 కుటీరం
cotton 	 పత్తి
cough 	 దగ్గు
coughing 	 దగ్గు
could 	 చేయగలదు
council 	 సభ
count 	 లెక్కించు
counter 	 కౌంటర్
count on 	 లెక్కించండి
country 	 దేశం
countryside 	 జనపదం
county 	 కౌంటీ
couple 	 జంట
courage 	 ధైర్యం
course 	 గమనం
court 	 న్యాయ స్థానం
cousin 	 కజిన్
cover 	 మూత
covered 	 కవర్ చేయబడింది
covering 	 కప్పుట
cover up 	 కప్పిపుచ్చుకోండి
cow 	 ఆవు
crack 	 ఓడు
cracked 	 పగుళ్లు ఏర్పడ్డాయి
craft 	 యుక్తి
crash 	 క్రాష్
crazy 	 క్రేజీ
cream 	 మీగడ
create 	 ఏర్పరచు
creature 	 ప్రాణి
credit 	 నమ్మిక
credit card 	 క్రెడిట్ కార్డ్
crime 	 నేరం
criminal 	 నేరస్తుడు
crisis 	 సంక్షోభం
crisp 	 క్రిస్ప్
criterion 	 ప్రమాణం
critical 	 కీలకమైనది
criticism 	 ఆక్షేపణ
criticize 	 విమర్శించండి
crop 	 పంట
cross 	 దాటు
cross out 	 క్రాస్ అవుట్
crowd 	 గుంపు
crowded 	 రద్దీగా ఉంది
crown 	 కిరీటం
crucial 	 కీలకమైనది
cruel 	 క్రూరమైన
crush 	 చితక్కొట్టు
cry 	 ఏడుపు
cry out 	 కేకలు వేయడం
cultural 	 సాంస్కృతిక
culture 	 సంస్కృతి
cup 	 చిప్ప
cupboard 	 అలమార
curb 	 నిరోధించండి
cure 	 నయం చేయు
curious 	 ఆసక్తిగా ఉంది
curiously 	 ఆసక్తికరంగా
curl 	 కర్ల్
curl up 	 గుండ్రంగా ఉండండి
curly 	 కర్లీ
current 	 ప్రస్తుతం
currently 	 ప్రస్తుతం
curtain 	 పరదా
curve 	 వంకర
curved 	 వంకర
custom 	 ఆచారం
customer 	 ఖాతాదారుడు
customs 	 ఆచారాలు
cut 	 కత్తిరించు
cut back 	 కట్ బ్యాక్
cut down 	 తగ్గించండి
cut off 	 కట్ చేయబడింది
cut out 	 కట్ చేయండి
cut up 	 కట్ చేయండి
cycle 	 సైకిలు
cycling 	 సైక్లింగ్
dad 	 నాన్న
daily 	 రోజువారీ
damage 	 హాని
damp 	 చెమ్మ
dance 	 నాట్యం
dancer 	 నర్తకి
dancing 	 నృత్యం
danger 	 అపాయం
dangerous 	 ప్రమాదకరమైన
dare 	 తెగించు
dark 	 చీకటి
data 	 డేటా
date 	 ఖర్జూరం
date back 	 తేదీ తిరిగి
daughter 	 కూతురు
day 	 రోజు
dead 	 చచ్చిన
deaf 	 చెవిటి
deal 	 వ్యవహారం
deal in 	 డీల్ ఇన్
deal with 	 డీల్ చేయండి
dear 	 ప్రియమైన
death 	 చావు
debate 	 చర్చ
debt 	 అప్పు
decade 	 దశాబ్దం
decay 	 క్షయం
December 	 డిసెంబర్
decide 	 నిర్ణయించు
decide on 	 నిర్ణయించండి
decision 	 నిర్ధారణ
declare 	 చాటించు
decline 	 పతనమగు
decorate 	 అలంకరించు
decoration 	 అలంకరణ
decorative 	 అలంకరణ
decrease 	 తగ్గుదల
deep 	 లోతు
deeply 	 లోతుగా
defeat 	 ఓటమి
defence 	 రక్షణ
defend 	 రక్షించు
define 	 నిర్వచించు
definite 	 ఇదమిత్థం
definitely 	 కచ్చితంగా
definition 	 నిర్వచనం
degree 	 డిగ్రీ
delay 	 ఆలస్యం
deliberate 	 ఆలోచించు
deliberately 	 కావాలని
delicate 	 సుకుమారమైన
delight 	 సంతోషం
delighted 	 సంతోషం
deliver 	 అందించు
delivery 	 అప్పగింత
demand 	 కోరు
demonstrate 	 నిరూపించు
dentist 	 దంతవైద్యుడు
deny 	 కాదను
department 	 విభాగం
departure 	 వెళ్లిపోవడం
depend 	 ఆధారపడు
depend on 	 వీటిపై ఆధారపడతారు
deposit 	 ధరావత్తు
depress 	 depress
depressed 	 దళిత
depressing 	 నిరుత్సాహం
depth 	 లోతు
derive 	 తెప్పించు
derive from 	 దీని నుండి ఉద్భవించింది
describe 	 వర్ణించు
description 	 వర్ణన
desert 	 ఎడారి
deserted 	 నిర్మానుష్యంగా ఉంది
deserve 	 అర్హత ఉంది
design 	 డిజైన్
desire 	 అభిలాష
desk 	 బల్ల
desperate 	 నిరాశ
desperately 	 నిస్సహాయంగా
despite 	 అయినప్పటికీ
destroy 	 చెడగొట్టు
destruction 	 నష్టము
detail 	 వివరం
detailed 	 సవిస్తరంగా
determination 	 అభినివేశం
determine 	 నిర్ణయించు
determined 	 పట్టు వదలని
develop 	 వికసించు
development 	 అభివృద్ధి
device 	 కిటుకు
devote 	 భక్తుడు
devoted 	 అర్పించబడ్డ
devote to 	 దేనికి అంకితం
diagram 	 పటం
diamond 	 వజ్రం
diary 	 దినచర్య
dictionary 	 నిఘంటువు
die 	 పాచిక
die away 	 చావు దూరంగా
die out 	 die out
diet 	 ఆహారం
difference 	 తేడా
different 	 వేరు
differently 	 విభిన్నంగా
difficult 	 కష్టమైన
difficulty 	 కష్టం
dig 	 తవ్వు
digital 	 డిజిటల్
dinner 	 డిన్నర్
direct 	 సరాసరి
direction 	 దిశ
directly 	 తక్షణము
director 	 దర్శకుడు
dirt 	 మురికి
dirty 	 మురికైన
disabled 	 వికలాంగులు
disadvantage 	 ప్రతికూల
disagree 	 అంగీకరించరు
disagreement 	 అసమ్మతి
disagree with doing 	 చేయడానికి అంగీకరించడం లేదు
disappear 	 అదృశ్యం
disappoint 	 భంగపరచు
disappointed 	 నిరాశ చెందింది
disappointing 	 నిరాశపరిచింది
disappointment 	 ఆశాభంగం
disapproval 	 అసమ్మతి
disapprove 	 disapprove
disapproving 	 తిరస్కరించడం
disaster 	 చేటు
disc 	 డిస్క్
discipline 	 క్రమ శిక్షణ
discount 	 ముదరా
discover 	 కనిపెట్టు
discovery 	 కనుక్కోవడం
discuss 	 చర్చించు
discussion 	 చర్చ
disease 	 జబ్బు
disgust 	 అసహ్యం
disgusted 	 అసహ్యం
disgusting 	 అసహ్యకరమైన
dish 	 వంటకం
dishonest 	 Dishonest
dishonestly 	 నిజాయితీగా
disk 	 డిస్క్
dislike 	 అనిష్టత
dismiss 	 తొలగించు
display 	 చూపించు
dissolve 	 కరగించు
distance 	 దూరం
distinguish 	 తేడా చూపు
distribute 	 పంచు
distribution 	 పంచుకోవడం
district 	 జిల్లా
disturb 	 డిస్టర్బ్
disturbing 	 కలవరపెడుతోంది
divide 	 విభజించు
division 	 ముక్కలు
divorce 	 విడాకులు
divorced 	 విడాకులు తీసుకున్నారు
do 1 	 చేయండి 1
doctor 	 వైద్యుడు
document 	 దస్తావేజు
dog 	 కుక్క
dollar 	 డాలర్
domestic 	 పెంపుడు
dominate 	 ఆధిపత్యం
door 	 తలుపు
dot 	 చుక్క
double 	 రెట్టింపు
doubt 	 శంక
do up 	 చేయండి
do with 	 దీనితో చేయండి
do without 	 లేకుండా చేయండి
down 	 కింద
downstairs 	 కిందకు
downward 	 దింపుడు
downwards 	 దిగువకు
